authors,title,abstract,authors_trans,abstract_trans
"Qing Li, Shi-Yao Shao, Li-Hua Zhang, Bang Liu, Zheng-Yuan Zhang, Jun Zhang, Qi-Feng Wang, Han-Chao Chen, Yu Ma, Tian-Yu Han, Dong-Sheng Ding, Bao-Sen Shi",Diatomic and Polyatomic Heteronuclear Ultralong-Range Rydberg Molecules,"Ultra-long-range Rydberg molecules (ULRMs) have attracted significant interest due to their unique electronic properties and potential applications in quantum technologies. We theoretically investigate the formation and characteristics of heteronuclear ULRMs, focusing on Rb-Cs systems. We explore the vibrational energy levels of heteronuclear nD ULRMs and compare them with homonuclear counterparts. We also predict the formation of polyatomic heteronuclear ULRMs, discussing how the binding energy and spectral features evolve as the number of ground-state atoms increases. Our theoretical predictions are presented in terms of molecular spectra and provide insight into the formation dynamics of these systems. The study further explores the potential applications of heteronuclear ULRMs in quantum information processing, quantum simulation, and precision measurements, offering new avenues for future research in many-body physics and quantum technologies.",二原子および多原子異核超長距離リュードベリ分子,超長距離リュードベリ分子 (ULRM) は、その独特の電子特性と量子技術における潜在的な応用により、大きな関心を集めています。私たちは、Rb-Cs 系に焦点を当てて、異核 ULRM の形成と特性を理論的に研究しています。私たちは異核 nD ULRM の振動エネルギー準位を調査し、それらを同核の対応物と比較します。また、基底状態原子の数が増加するにつれて結合エネルギーとスペクトルの特徴がどのように進化するかを議論し、多原子異種核 ULRM の形成を予測します。私たちの理論的予測は分子スペクトルの観点から提示され、これらの系の形成ダイナミクスへの洞察を提供します。この研究は、量子情報処理、量子シミュレーション、精密測定における異種核ULRMの潜在的な応用をさらに調査し、多体物理学と量子技術における将来の研究に新たな道を提供します。
"Yin-Da Guo, Shou-Shan Bao, Tianjun Li, Hong Zhang",The effect of accretion on scalar superradiant instability,"Superradiance can lead to the formation of a black hole (BH) condensate system. We thoroughly investigate the accretion effect on the evolution of this system, and the gravitational wave signals it emits in the presence of multiple superradiance modes. Assuming the multiplication of the BH mass and scalar mass as a small number, we obtain the analytical approximations of all important quantities, which can be directly applied to phenomenological studies. In addition, we confirm that accretion could significantly enhance the gravitational wave (GW) emission and reduce its duration, and show that the GW beat signature is similarly modified.",スカラー超放射不安定性に対する降着の影響,超放射は、ブラック ホール (BH) 凝縮系の形成につながる可能性があります。私たちは、この系の進化に対する降着の影響と、複数の超放射モードの存在下でこの系が発する重力波信号を徹底的に調査します。 BH 質量とスカラー質量の乗算を小さな数と仮定すると、すべての重要な量の分析的近似値が得られ、現象学的研究に直接適用できます。さらに、降着によって重力波 (GW) の放射が大幅に強化され、その持続時間が短縮される可能性があることを確認し、GW ビート署名も同様に変化することを示します。
"F. Sobrero, M. S. Soares, T. Guerreiro, N. F. Svaiter",Acceleration temperature for quantum fields without event horizon,"We investigate unitarily inequivalent representations of the algebra of operators in quantum field theory. In those cases that exist a Fock representation of the commutation relations, we have a unique no-quanta state. We examine more closely the operational definition of a measuring device which detect a quantum of an Hermitian scalar field. The Unruh-DeWitt and Glauber model of quanta detectors are discussed. In Minkowski spacetime, the transition probability per unit proper time of both detectors is studied in two different non-inertial frames of reference. The first one, a detector with a constant proper acceleration, travelling in a stationary worldline, i.e., an hyperbolic motion, interacting with the field prepared in the Poincaré invariant Fock vacuum state. Next, we studied the Unruh-DeWitt detector at rest in a non-uniformly accelerated frame, with a time dependent acceleration. We evaluate the positive frequency Wightman function for the non-uniformly accelerated frame in a finite time interval and obtain the same two-point correlation function of a system in equilibrium with a thermal bath. Therefore the non-uniformly accelerated Unruh-DeWitt detector interacting with the field in the Poincaré invariant Fock vacuum state measures a thermal state. This result shows that the existence of an acceleration temperature without the presence of an event horizon.",事象の地平面のない量子場の加速温度,場の量子論における作用素代数のユニタリ不等価表現を調査します。交換関係のフォック表現が存在する場合には、固有の非量子状態が存在します。エルミートのスカラー場の量子を検出する測定装置の操作上の定義をより詳しく調べます。量子検出器の Unruh-DeWitt および Glauber モデルについて説明します。ミンコフスキー時空では、両方の検出器の単位固有時間あたりの遷移確率が 2 つの異なる非慣性基準系で研究されます。 1 つ目は、一定の適切な加速度を持つ検出器で、静止した世界線、つまり双曲線運動の中を移動し、ポアンカレ不変フォック真空状態で準備された場と相互作用します。次に、時間依存の加速を伴う、不均一に加速されたフレーム内で静止している Unruh-DeWitt 検出器を研究しました。有限の時間間隔で不均一に加速されたフレームの正の周波数ワイトマン関数を評価し、熱浴と平衡状態にあるシステムの同じ 2 点相関関数を取得します。したがって、ポアンカレ不変フォック真空状態の磁場と相互作用する不均一に加速されたウンルー・ドゥウィット検出器は、熱状態を測定します。この結果は、事象の地平面が存在しなくても加速温度が存在することを示しています。
"Rodrigo A. Vicencio, Fabiola G.L. Carcamo-Macaya, Pablo Solano",Observation of non-Markovian Radiative Phenomena in Structured Photonic Lattices,"The spectral structure of a photonic reservoir shapes radiation phenomena for embedded quantum emitters. We implement an all-optical analogue to study such an effect, particularly to observe the non-Markovian radiation dynamics of an emitter coupled to two-dimensional structured reservoirs. Its dynamics is simulated by light propagating through a photonic lattice, acting as a reservoir for an adjacent waveguide that mimics a coupled quantum emitter. We study radiation dynamics in square and Lieb lattices under different coupling regimes and observe how the flat band properties of the Lieb lattice significantly enhances light-matter coupling and non-Markovianity. Our platform opens a path for the experimental exploration of single photon quantum optical phenomena in structured reservoirs to enhance light-matter interactions.",構造化フォトニック格子における非マルコフ放射現象の観察,フォトニックリザーバーのスペクトル構造は、埋め込まれた量子エミッターの放射現象を形成します。我々は、このような効果を研究するために、特に二次元構造のリザーバーに結合したエミッターの非マルコフ放射ダイナミクスを観察するために、全光学的アナログを実装します。そのダイナミクスは、結合量子エミッターを模倣する隣接する導波路のリザーバーとして機能するフォトニック格子を通って伝播する光によってシミュレートされます。私たちは、さまざまな結合領域の下で正方格子とリーブ格子の放射ダイナミクスを研究し、リーブ格子のフラットバンド特性がどのように光物質結合と非マルコヴィアン性を大幅に強化するかを観察します。私たちのプラットフォームは、光と物質の相互作用を強化するための構造化貯留層における単一光子量子光学現象の実験的探索への道を開きます。
Kenji Nakahira,More resourceful states improve quantum channel discrimination,"One of the key issues in quantum discrimination problems is understanding the extent of the advantages in discrimination performance when using resource states compared to resourceless states. We show that in any resource theory of states, which may not be convex, the extent to which the maximum average success probability can be improved in quantum channel discrimination problems without using auxiliary systems can be precisely quantified by the robustness measure. Furthermore, we demonstrate that the robustness measure can also quantify the improvement in channel discrimination problems that use auxiliary systems. Using these findings, resources can be fully characterized to achieve higher success probabilities than any state without the given resource in channel discrimination problems.",リソースがより豊富な状態により、量子チャネルの識別が向上します,量子識別問題における重要な問題の 1 つは、リソースのない状態と比較して、リソースの状態を使用した場合の識別パフォーマンスにおける利点の程度を理解することです。我々は、凸ではない可能性のある任意のリソース状態理論において、補助システムを使用せずに量子チャネル識別問題で最大平均成功確率をどの程度改善できるかが、ロバスト性の尺度によって正確に定量化できることを示します。さらに、ロバスト性の測定により、補助システムを使用したチャネル弁別問題の改善も定量化できることを示します。これらの発見を使用すると、リソースを完全に特徴付けて、チャネル識別問題において、特定のリソースを持たない状態よりも高い成功確率を達成することができます。
"Genly Leon, Daya Shankar, Amlan Halder, Andronikos Paliathanasis",Cosmological Interactions with Phantom Scalar Field: Revisiting Background Phase-Space Analysis with Compactified Variables,"Energy transfer in the dark sector of the universe gives rise to new phenomena of special interest in modern cosmology. When dark energy is modeled as a phantom scalar field, interactions become crucial to avoid Big Rip singularities. In this work, we revisit the phase-space analysis of the field equations by introducing a new set of dimensionless variables distinct from the traditional Hubble normalization approach. These new variables define a compactified phase space for the evolution of physical parameters. We demonstrate that these compactified variables offer fresh insights into the phase-space analysis in gravitational theories, particularly when the dark energy fluid is allowed to possess a negative kinetic energy density.",ファントムスカラー場との宇宙論的相互作用: コンパクト化された変数を使用したバックグラウンド位相空間解析の再考,宇宙の暗黒領域におけるエネルギー伝達は、現代の宇宙論で特に興味深い新しい現象を引き起こします。ダークエネルギーがファントムスカラーフィールドとしてモデル化される場合、ビッグリップ特異点を回避するために相互作用が重要になります。この研究では、従来のハッブル正規化アプローチとは異なる新しい無次元変数セットを導入することにより、場方程式の位相空間解析を再検討します。これらの新しい変数は、物理パラメータの展開のためのコンパクト化された位相空間を定義します。我々は、これらのコンパクト化された変数が、特にダークエネルギー流体が負の運動エネルギー密度を持つことを許可されている場合に、重力理論における位相空間解析に新たな洞察を提供することを実証します。
"Pavel D. Kurilovich, Thomas Connolly, Charlotte G. L. Bøttcher, Daniel K. Weiss, Sumeru Hazra, Vidul R. Joshi, Andy Z. Ding, Heekun Nho, Spencer Diamond, Vladislav D. Kurilovich, Wei Dai, Valla Fatemi, Luigi Frunzio, Leonid I. Glazman, Michel H. Devoret",High-frequency readout free from transmon multi-excitation resonances,"Quantum computation will rely on quantum error correction to counteract decoherence. Successfully implementing an error correction protocol requires the fidelity of qubit operations to be well-above error correction thresholds. In superconducting quantum computers, measurement of the qubit state remains the lowest-fidelity operation. For the transmon, a prototypical superconducting qubit, measurement is carried out by scattering a microwave tone off the qubit. Conventionally, the frequency of this tone is of the same order as the transmon frequency. The measurement fidelity in this approach is limited by multi-excitation resonances in the transmon spectrum which are activated at high readout power. These resonances excite the qubit outside of the computational basis, violating the desired quantum non-demolition character of the measurement. Here, we find that strongly detuning the readout frequency from that of the transmon exponentially suppresses the strength of spurious multi-excitation resonances. By increasing the readout frequency up to twelve times the transmon frequency, we achieve a quantum non-demolition measurement fidelity of 99.93% with a residual probability of leakage to non-computational states of only 0.02%.",トランスモン多重励起共振のない高周波読み出し,量子計算は、デコヒーレンスを防ぐために量子エラー補正に依存します。誤り訂正プロトコルを正常に実装するには、量子ビット操作の忠実度が誤り訂正のしきい値を十分に上回る必要があります。超伝導量子コンピューターでは、量子ビット状態の測定が依然として最も忠実度の低い操作です。典型的な超伝導量子ビットであるトランスモンの場合、測定は量子ビットからマイクロ波トーンを散乱させることによって実行されます。従来、このトーンの周波数はトランスモン周波数と同じオーダーでした。このアプローチにおける測定忠実度は、高い読み出しパワーで活性化されるトランスモンスペクトル内の多重励起共鳴によって制限されます。これらの共鳴は計算基礎の外側で量子ビットを励起し、測定の望ましい量子非破壊特性を侵害します。ここで、読み出し周波数をトランスモンの周波数から大きく離調すると、スプリアス多重励起共振の強度が指数関数的に抑制されることがわかりました。読み出し周波数をトランスモン周波数の最大 12 倍まで高めることにより、非計算状態への漏洩の残留確率はわずか 0.02% で、99.93% の量子非破壊測定忠実度を達成します。
"Maxim N. Chernodub, Peter Millington, Esra Sablevice",Pseudo-real quantum fields,"We introduce the concept of pseudo-reality for complex numbers. We show that this concept, applied to quantum fields, provides a unifying framework for two distinct approaches to pseudo-Hermitian quantum field theories. The first approach stems from analytically continuing Hermitian theories into the complex plane, while the second is based on constructing them from first principles. The pseudo-reality condition for bosonic fields resolves a long-standing problem with the formulation of gauge theories involving pseudo-Hermitian currents, sheds new light on the resolution of the so-called Hermiticity Puzzle, and leads to a consistent minimal coupling of pseudo-Hermitian quantum field theories to gravity. These results contribute significantly to the ongoing development of the first-principles construction of pseudo-Hermitian quantum field theories, including their formulation in curved spacetimes.",擬似実量子場,複素数に対する擬似現実の概念を導入します。我々は、この概念を量子場に適用すると、擬似エルミート量子場理論への 2 つの異なるアプローチに統一的な枠組みが提供されることを示します。最初のアプローチはエルミート理論を複素平面に分析的に継続することに由来し、2 番目のアプローチは第一原理に基づいて構築することに基づいています。ボソン磁場の擬似現実条件は、擬似エルミート流を含むゲージ理論の定式化に関する長年の問題を解決し、いわゆるエルミートパズルの解決に新たな光を当て、擬似エルミート電流の一貫した最小結合をもたらします。重力に対するエルミート量子場の理論。これらの結果は、湾曲した時空での定式化を含む、擬エルミート量子場の理論の第一原理構築の進行中の開発に大きく貢献します。
Alexander Kiefer,SeQUeNCe GUI: An Extensible User Interface for Discrete Event Quantum Network Simulations,"With recent advances in the fields of quantum information theory [J. Pablo. Nature 12, 2172 (2021)] and the approach of the Noisy Intermediate-Scale Quantum (NISQ) [J. Preskill. Quantum 2, 79 (2018)] computing era, it is necessary to provide tools for experimentation and prototyping that are able to keep pace with the rapidly progressing field of quantum computing. SeQUeNCe, an open source simulator of quantum network communication, aims to provide scalability and extensibility for the simulation of quantum networks, from the hardware level to the application and protocol level. In order to improve upon the usability of this software, we implement a graphical user interface which maintains the core principles of SeQUeNCe, scalability and extensibility, while enhancing the software's portability and ease of use. We demonstrate the capabilities of the graphical user interface through the construction of the existing Chicago metropolitan quantum network topology.",SeQUeNCe GUI: 離散事象量子ネットワーク シミュレーション用の拡張可能なユーザー インターフェイス,"量子情報理論の分野における最近の進歩により、[J.パブロ。 Nature 12、2172 (2021)] およびノイズ中間スケール量子 (NISQ) のアプローチ [J.プレスキル。 Quantum 2, 79 (2018)] コンピューティング時代には、急速に進歩する量子コンピューティング分野に対応できる実験とプロトタイピング用のツールを提供する必要があります。量子ネットワーク通信のオープンソース シミュレータである SeQUeNCe は、ハードウェア レベルからアプリケーションおよびプロトコル レベルまで、量子ネットワークのシミュレーションにスケーラビリティと拡張性を提供することを目的としています。このソフトウェアの使いやすさを向上させるために、ソフトウェアの移植性と使いやすさを向上させながら、SeQUeNCe の核となる原則、スケーラビリティと拡張性を維持するグラフィカル ユーザー インターフェイスを実装しました。既存のシカゴ都市量子ネットワーク トポロジの構築を通じて、グラフィカル ユーザー インターフェイスの機能を実証します。"
"Martin Veresko, Yu Liu, Daqing Hou, Ming-Cheng Cheng",Physics-Aware POD-Based Learning for Ab initio QEM-Galerkin Simulations of Periodic Nanostructures,"Quantum nanostructures offer crucial applications in electronics, photonics, materials, drugs, etc. For accurate design and analysis of nanostructures and materials, simulations of the Schrodinger or Schrodinger-like equation are always needed. For large nanostructures, these eigenvalue problems can be computationally intensive. One effective solution is a learning method via Proper Orthogonal Decomposition (POD), together with ab initio Galerkin projection of the Schrodinger equation. POD-Galerkin projects the problem onto a reduced-order space with the POD basis representing electron wave functions (WFs) guided by the first principles in simulations. To minimize training effort and enhance robustness of POD-Galerkin in larger structures, the quantum element method (QEM) was proposed previously, which partitions nanostructures into generic quantum elements. Larger nanostructures can then be constructed by the trained generic quantum elements, each of which is represented by its POD-Galerkin model. This work investigates QEM-Galerkin thoroughly in multi-element quantum-dot (QD) structures on approaches to further improve training effectiveness and simulation accuracy and efficiency for QEM-Galerkin. To further improve computing speed, POD and Fourier bases for periodic potentials are also examined in QEM-Galerkin simulations. Results indicate that, considering efficiency and accuracy, the POD potential basis is superior to the Fourier potential basis even for periodic potentials. Overall, QEM-Galerkin offers more than a 2-order speedup in computation over direct numerical simulation for multi-element QD structures, and more improvement is observed in a structure comprising more elements.",周期的ナノ構造の非経験的 QEM-Galerkin シミュレーションのための物理学を意識した POD ベースの学習,量子ナノ構造は、エレクトロニクス、フォトニクス、材料、医薬品などにおいて重要な用途を提供します。ナノ構造および材料の正確な設計と分析には、シュレディンガーまたはシュレディンガーに似た方程式のシミュレーションが常に必要です。大きなナノ構造の場合、これらの固有値の問題は計算負荷が高くなる可能性があります。効果的な解決策の 1 つは、シュレディンガー方程式の ab initio Galerkin 射影を組み合わせた適切な直交分解 (POD) による学習方法です。 POD-Galerkin は、シミュレーションの第一原理に基づいて電子波動関数 (WF) を表す POD 基底を使用して、問題を低次数空間に投影します。トレーニングの労力を最小限に抑え、より大きな構造における POD-Galerkin の堅牢性を高めるために、ナノ構造を一般的な量子要素に分割する量子要素法 (QEM) が以前に提案されました。その後、トレーニングされた汎用量子要素によってより大きなナノ構造を構築できます。各要素は POD-Galerkin モデルで表されます。この研究では、QEM-Galerkin のトレーニング効果とシミュレーションの精度と効率をさらに向上させるアプローチについて、多要素量子ドット (QD) 構造で QEM-Galerkin を徹底的に調査します。計算速度をさらに向上させるために、周期ポテンシャルの POD およびフーリエ基底も QEM-Galerkin シミュレーションで検査されます。結果は、効率と精度を考慮すると、周期ポテンシャルであっても、POD ポテンシャル基底がフーリエ ポテンシャル基底よりも優れていることを示しています。全体として、QEM-Galerkin は、多要素 QD 構造の直接数値シミュレーションに比べて計算速度が 2 桁以上向上し、より多くの要素を含む構造ではさらなる改善が観察されます。
