authors,title,abstract,authors_trans,abstract_trans
"Yuya Maeda, Yasunari Suzuki, Toshiki Kobayashi, Takashi Yamamoto, Yuuki Tokunaga, Keisuke Fujii",Logical entanglement distribution between distant 2D array qubits,"Sharing logical entangled pairs between distant quantum nodes is a key process to achieve fault tolerant quantum computation and communication. However, there is a gap between current experimental specifications and theoretical requirements for sharing logical entangled states while improving experimental techniques. Here, we propose an efficient logical entanglement distribution protocol based on surface codes for two distant 2D qubit array with nearest-neighbor interaction. A notable feature of our protocol is that it allows post-selection according to error estimations, which provides the tunability between the infidelity of logical entanglements and the success probability of the protocol. With this feature, the fidelity of encoded logical entangled states can be improved by sacrificing success rates. We numerically evaluated the performance of our protocol and the trade-off relationship, and found that our protocol enables us to prepare logical entangled states while improving fidelity in feasible experimental parameters. We also discuss a possible physical implementation using neutral atom arrays to show the feasibility of our protocol.",遠い2Dアレイキュービット間の論理的エンタングルメント分布,遠隔量子ノード間で論理的に絡み合ったペアを共有することは、障害耐性の量子計算と通信を実現するための重要なプロセスです。ただし、現在の実験仕様と、実験的手法を改善しながら論理的に絡み合った状態を共有するための理論的要件の間にはギャップがあります。ここでは、最も近いneighbor相互作用を備えた2つの遠い2Dキットアレイの表面コードに基づく効率的な論理エンタングルメント分布プロトコルを提案します。私たちのプロトコルの注目すべき特徴は、エラーの推定に応じて選択後選択を可能にすることです。これは、論理的絡み合いの不倫とプロトコルの成功確率との間の調整性を提供することです。この機能により、成功率を犠牲にすることで、エンコードされた論理的絡み合い状態の忠実度を改善できます。プロトコルのパフォーマンスとトレードオフ関係を数値的に評価し、プロトコルにより、実験可能な実験パラメーターの忠実度を改善しながら、論理的に絡み合った状態を準備できることがわかりました。また、ニュートラルアトムアレイを使用して、プロトコルの実現可能性を示す可能性のある物理的実装についても説明します。
Shinichi Saito,Skyrmionic SU(6) structured light,"Skyrmions are topological quasi-particles characterised by local spin textures, which are considered to be robust against structural deformation. Néel and Bloch states are famous examples of skyrmions, which exhibit radical and chiral spin profiles, respectively. Here, we show a skyrmion can be continuously transformed to an antiskyrmion or various other forms of skymions through underlying symmetry of special unitary group of degree six, SU(6), for photons with spin and orbital angular momentum. We employ a Lie group theory for coherent photons to describe the SU(6) transformation and establish a relationship between the generator of rotation and its expectation values on a hypersphere of $\mathbb{S}^{35}$. We propose a simple experimental setup to control the SU(6) states in combinations with wave-plates and vortex lenses to realise the generalised Euler's formula physically in a Mach-Zehnder interferometer. We show skyrmionic states are described on higher-order Poincar'e spheres together with a recently proposed skyrmionic torus.",Skyrmionic Su（6）構造光,スカイミオンは、局所的なスピンテクスチャを特徴とするトポロジカル準粒子であり、構造変形に対して堅牢であると考えられています。 NéelとBlochの状態は、それぞれラジカルとキラルのスピンプロファイルを示すスキルミオンの有名な例です。ここでは、スピンおよび軌道角運動量を持つ光子について、スカイミオンをアンチスキュミオンまたは他のさまざまな形態のsu（6）の基礎となる対称性を通じて継続的に変換できることを示しています。コヒーレント光子に嘘グループ理論を採用して、su（6）変換を記述し、$ \ mathbb {s}^{35} $のhypersphereでの回転ジェネレーターとその期待値との関係を確立します。波板と渦レンズとの組み合わせでSU（6）状態を制御して、マッハゼンダー干渉計で物理的に一般化されたオイラーの式を実現するための簡単な実験セットアップを提案します。急成長状態は、最近提案された急激なトーラスとともに、高次のポアンカル球に記載されていることを示しています。
"Dinesh Wagle, Yi Li, Mojtaba Taghipour Kaffash, Sergi Lendinez, Mohammad Tomal Hossain, Valentine Novosad, M. Benjamin Jungfleisch",Observation of thermally activated coherent magnon-magnon coupling in a magnonic hybrid system,"We experimentally demonstrate strong magnon-magnon coupling by thermal spin excitations in yttrium iron garnet/permalloy (YIG/Py) hybrid structures using microfocused Brillouin light scattering - an optical technique that enables the detection of zero-wavevector and higher-order wavevector spin waves in a broad frequency range. The thermally activated magnons in the bilayer lead to a hybrid excitation between magnon modes in the conductive Py layer with a wide wavevector range and the first perpendicular standing magnon modes in the insulating YIG layer, facilitated by strong interfacial exchange coupling. To further investigate this coupling, we compare the thermal magnon spectra with the results obtained from electrical excitation and detection methods, which primarily detect the uniform Py mode. The realization of coherent coupling between incoherent (thermal) magnons is important for advancing energy-efficient magnonic devices, particularly in classical as well as quantum spin-wave computing technologies.",マグノニックハイブリッドシステムにおける熱活性化コヒーレントマグノンマグノンカップリングの観察,Yttrium Iron Garnet/Permalloy（Yig/Py）ハイブリッド構造における熱スピン励起による強力なマグノンマグニョンカップリングを実験的に実験的に示します。マイクロフォーカスされたブリルアン光散乱 - ゼロ波ベクターと高次波動波量スピン波の検出を可能にする光学技術を実験します。二重層の熱的に活性化されたマグノンは、幅広い波線範囲の導電性Py層のマグノンモードと、強い界面交換カップリングによって促進された絶縁Yig層の最初の垂直立位マグノンモードの間のハイブリッド励起をもたらします。この結合をさらに調査するために、主に均一なPyモードを検出する電気励起および検出方法から得られた結果と熱マグノンスペクトルを比較します。一貫性のない（熱）マグノン間のコヒーレント結合の実現は、特にクラシックおよび量子スピン波コンピューティングテクノロジーで、エネルギー効率の高いマグネックデバイスを進めるために重要です。
"Xing-Liang Dong, Peng-Bo Li, Zongping Gong, Franco Nori",Waveguide QED with dissipative light-matter couplings,"Dissipative light-matter coupling plays a vital role in non-Hermitian physics, but it remains largely unexplored in waveguide QED systems. In this work, we find that by employing pseudo-Hermitian symmetry rather than anti-PT symmetry, the concept of dissipative coupling could be generalized and applied to the field of waveguide QED. This leads to a series of intriguing results, such as spontaneous breaking of pseudo-Hermitian symmetry across the exceptional points (EPs), level attraction between the bound states, and critical transition across the EPs for the population of quantum emitters in the bound state. Thanks to the tunability of photonic bands in crystal waveguides, we also demonstrate that dissipative light-matter coupling leads to the emergence of nonstandard third-order exceptional points with chiral spatial profiles in a topological waveguide QED system. This work provides a promising paradigm for studying non-Hermitian quantum phenomena in waveguide QED systems.",散逸光と物質のカップリングを備えた導波路QED,散逸性物質の結合は、非ヘルミティアの物理学において重要な役割を果たしますが、導波路QEDシステムではほとんど説明されていません。この作業では、抗PTT対称性ではなく擬似ヘルミティアの対称性を採用することにより、散逸カップリングの概念を一般化し、導波路QEDのフィールドに適用できることがわかります。これは、例外的なポイント（EPS）にわたる擬似ヘルミティアの対称性の自発的な破壊、結合状態間のレベルの引力、および結合状態の量子エミッターの集団のEPS間の重要な遷移など、一連の興味深い結果につながります。クリスタル波動管内のフォトニックバンドの調整性のおかげで、散逸光のカップリングが、トポロジーガイドQEDシステムにキラルな空間プロファイルを備えた非標準の3次例の出現につながることも示しています。この作業は、導波路QEDシステムで非ヘルミティアの量子現象を研究するための有望なパラダイムを提供します。
Osamu Hirota,Design of Quantum Stream Cipher: Part-I -Lifting the Shannon Impossibility Theorem-,"This paper is dedicated to the late Professor H.P. Yuen in commemoration to our 50-year friendship. He invented the concept of quantum stream cipher. It is designed based on a completely different concept from conventional ciphers. The purpose of this cipher is to provide information-theoretic security of long data and secret key with short key length. It is based on hiding the ciphertext of mathematical cipher with quantum noise, achieving unprecedented information-theoretic security in any cipher. The protocol corresponds to randomizing the ciphertext by means of differentiating the receiving performance of Bob with key and Eve without key according to the principle of quantum communication theory. In this paper, we introduce some progress on the specific method to develop from the standard type to generalized quantum stream cipher (Quantum Enigma Cipher). There are two methods for generalization. One is the additional randomization method by the product cipher form and the other is the M-th order extended quantum coding method. Here we discuss the former. The results proved that it has sufficient information-theoretic security against known plaintext attack on key in comparison with quantum data locking. The latter method will be reported in Part II.",量子河川暗号の設計：パートI-シャノン不可能の定理のリフティング - ,この論文は、故H.P.故教授に捧げられています。 50年の友情を記念してYuen。彼は量子河川暗号の概念を発明しました。従来の暗号とはまったく異なる概念に基づいて設計されています。この暗号の目的は、キーの長さが短い長いデータと秘密キーの情報理論的セキュリティを提供することです。これは、数学的な暗号の暗号文を量子ノイズで隠すことに基づいており、あらゆる暗号の前例のない情報理論的セキュリティを実現しています。このプロトコルは、量子通信理論の原則に従ってキーなしでボブとイブの受信パフォーマンスをキーとイブの受信パフォーマンスを区別することにより、暗号文をランダム化することに対応しています。このホワイトペーパーでは、標準のタイプから一般化された量子河川暗号（量子エニグマ暗号）に開発する特定の方法の進捗を紹介します。一般化には2つの方法があります。 1つは、製品暗号フォームによる追加のランダム化方法であり、もう1つはMTH ORDER拡張量子コーディング法です。ここで前者について説明します。結果は、量子データロックと比較して、既知のプレーンテキスト攻撃に対するキーに対する十分な情報理論的セキュリティがあることを証明しました。後者の方法はパートIIで報告されます。
"Mingze Wu, Yan Pan, Junhui Li, Heng Wang, Lu Fan, Yun Shao, Yang Li, Wei Huang, Song Yu, Bingjie Xu, Yichen Zhang",High-rate discrete-modulated continuous-variable quantum key distribution with composable security,"Continuous-variable quantum key distribution holds the potential to generate high secret key rates, making it a prime candidate for high-rate metropolitan quantum network applications. However, despite these promising opportunities, the realization of high-rate continuous-variable quantum key distribution systems with composable security remains an elusive goal. Here, we report a discrete-modulated continuous-variable quantum key distribution system with a composable secret key rate of 18.93 Mbps against collective attacks over a 25 km fiber channel. This record breaking rate is achieved through the probability shaped 16QAM-modulated protocol, which employs semidefinite programming to ensure its composable security. Furthermore, we have employed a fully digital and precise quantum signal processing technique to reduce excess noise to extremely low levels, thereby facilitating efficient broadband system operation. While ensuring low complexity and cost,our system achieves a performance advantage of over an order of magnitude compared to previous continuous-variable quantum key distribution systems, providing a promising solution for future deployment of quantum key distribution.",Composableセキュリティを備えた高レートの離散変調された連続可能な量子キー分布,継続的に変数の量子キー分布は、高い秘密のキーレートを生み出す可能性を秘めており、高額の大都市量子ネットワークアプリケーションの主要な候補となっています。しかし、これらの有望な機会にもかかわらず、構成可能なセキュリティを備えた高評価の連続可能な量子キー配信システムの実現は、とらえどころのない目標のままです。ここでは、25 kmファイバーチャネルにわたる集団攻撃に対して18.93 Mbpsの複合可能な秘密キーレートを備えた離散変調された連続可能な量子キー配布システムを報告します。このレコード破壊率は、16QAM調整されたプロトコルを形作った確率を通じて達成されます。このプロトコルは、その構成可能なセキュリティを確保するためにSemidefiniteプログラミングを採用しています。さらに、過剰なノイズを非常に低いレベルに減らすために、完全にデジタルおよび正確な量子信号処理技術を採用し、それにより効率的なブロードバンドシステムの動作が促進されました。低い複雑さとコストを確保しながら、当社のシステムは、以前の連続可能な量子キー配信システムと比較して、数桁以上のパフォーマンスの利点を達成し、量子キー分布の将来の展開のための有望なソリューションを提供します。
"Heng Wang, Yang Li, Ting Ye, Li Ma, Yan Pan, Mingze Wu, Junhui Li, Yiming Bian, Yaodi Pi, Yun Shao, Jie Yang, Jinlu Liu, Ao Sun, Wei Huang, Stefano Pirandola, Yichen Zhang, Bingjie Xu",High-rate continuous-variable quantum key distribution over 100 km fiber with composable security,"Quantum key distribution (QKD), providing a way to generate secret keys with information-theoretic security,is arguably one of the most significant achievements in quantum information. The continuous-variable QKD (CV-QKD) offers the potential advantage of achieving a higher secret key rate (SKR) within a metro area, as well as being compatible with the mature telecom industry. However, the SKR and transmission distance of state-of-the-art CV-QKD systems are currently limited. Here, based on the novelly proposed orthogonal-frequency-division-multiplexing (OFDM) CV-QKD protocol, we demonstrate for the first time a high-rate multi-carrier (MC) CV-QKD with a 10 GHz symbol rate that chieves Gbps SKR within 10km and Mbps SKR over 100 km in the finite-size regime under composable security against collective attacks. The record-breaking results are achieved by suitable optimization of subcarrier number and modulation variance, well-controlled excess noise induced by both OFDM mechanism and efficient DSP scheme, and high-performance post-processing capacity realized by heterogeneous computing scheme. The composable finite-size SKR reaches 1779.45 Mbps@5km, 1025.49 Mbps@10km, 370.50 Mbps@25km, 99.93 Mbps@50km, 25.70 Mbps@75km,and 2.25 Mbps@100km, which improves the SKR by two orders of magnitude and quintuples the maximal transmission distance compared to most recently reported CV-QKD results [Nature Communications, 13, 4740 (2022)]. Interestingly, it is experimentally verified that the SKR of the proposed MC CV-QKD can approach five times larger than that of the single-carrier CV-QKD with the same symbol rate without additional hardware costs. Our work constitutes a critical step towards future high-speed quantum metropolitan and access networks.",合成可能なセキュリティを備えた100 kmのファイバーを超える高レートの連続的なQuantumキー分布,情報理論的セキュリティを備えた秘密の鍵を生成する方法を提供する量子キーディストリビューション（QKD）は、間違いなく量子情報の最も重要な成果の1つです。継続的な変数QKD（CV-QKD）は、メトロエリア内でより高い秘密キーレート（SKR）を達成するという潜在的な利点を提供し、成熟した通信産業と互換性があります。ただし、最先端のCV-QKDシステムのSKRと送信距離は現在制限されています。ここでは、新たに提案されたオルソゴーン頻度分割総混入（OFDM）CV-QKDプロトコルに基づいて、10 GHzシンボルレートで高速なマルチキャリア（MC）CV-QKDを初めて示します。記録破りの結果は、サブキャリア数と変調の分散の適切な最適化、OFDMメカニズムと効率的なDSPスキームの両方によって誘導されるよく制御された過剰なノイズ、および不均一なコンピューティングスキームによって実現される高性能の後処理能力によって達成されます。構成可能な有限サイズSKRは、1779.45 Mbps@5km、1025.49 Mbps@10km、370.50 Mbps@25km、99.93 Mbps@50km、25.70 Mbps@75km、および2.25 Mbps@100kmに到達します。 CV-QKDの結果[Nature Communications、13、4740（2022）]。興味深いことに、提案されているMC CV-QKDのSKRが、追加のハードウェアコストなしで同じシンボルレートでシングルキャリアCV-QKDの5倍のそれよりも5倍大きいことができることが実験的に検証されています。私たちの仕事は、将来の高速量子メトロポリタンとアクセスネットワークへの重要なステップを構成しています。
"Shingo Kazama, Naoki Aoyama, Yoshitaka Itow, Masatoshi Kobayashi",Measurement of the Quantum Efficiency of Electrode Materials for VUV Photons in Liquid Xenon,"Light dark matter searches using ionization signals in dual-phase liquid xenon (LXe) time projection chambers (TPCs) are limited by low-energy ionization backgrounds, including those from the photoelectric effect on the electrodes. To address this, we measured the quantum efficiency (QE) of various electrode materials for vacuum ultraviolet (VUV) photons in LXe, including platinum (Pt), stainless steel (SUS304), and magnesium fluoride (MgF$_{2}$)-coated aluminum (Al). Our results show that MgF$_{2}$-coated Al exhibits the lowest QE among the tested materials. The QE for VUV photons with a mean wavelength of 179.5~nm was measured to be $(7.2 \pm 2.3) \times 10^{-5}$, corresponding to a reduction by a factor of 4.4 compared to SUS304, a commonly used electrode material in direct dark matter experiments with LXe. These findings suggest that employing low-QE electrodes can help mitigate photoelectric-induced backgrounds, potentially improving the sensitivity of LXe TPCs in light dark matter searches.",液体ゼノン中のVUV光子の電極材料の量子効率の測定,デュアルフェーズ液体ゼノン（LXE）時間投影チャンバー（TPC）のイオン化信号を使用した明るい暗黒物質検索は、電極に対する光電効果からのものを含む低エネルギーイオン化の背景によって制限されています。これに対処するために、プラチナ（PT）、ステンレス鋼（SUS304）、フッ化マグネシウム（MGF $ _ {2} $）を含むLXEの真空紫外線（VUV）光子のさまざまな電極材料の量子効率（QE）を測定しました。私たちの結果は、MGF $ _ {2} $  - コーティングされたAlが、テストされた材料の中で最も低いQEを示していることを示しています。平均波長179.5〜nmのVUV光子のQEは、LXEを使用した直接的な暗黒実験で一般的に使用される電極材料であるSUS304と比較して4.4の係数による減少に対応する$（7.2 \ PM 2.3）\ Times 10^{-5} $と測定されました。これらの発見は、低QE電極を使用すると光電気誘発性の背景を緩和し、軽い暗黒物質検索におけるLXE TPCの感度を潜在的に改善するのに役立つことを示唆しています。
"Matthew P. Bland, Faranak Bahrami, Jeronimo G. C. Martinez, Paal H. Prestegaard, Basil M. Smitham, Atharv Joshi, Elizabeth Hedrick, Alex Pakpour-Tabrizi, Shashwat Kumar, Apoorv Jindal, Ray D. Chang, Ambrose Yang, Guangming Cheng, Nan Yao, Robert J. Cava, Nathalie P. de Leon, Andrew A. Houck",2D transmons with lifetimes and coherence times exceeding 1 millisecond,"Materials improvements are a powerful approach to reducing loss and decoherence in superconducting qubits because such improvements can be readily translated to large scale processors. Recent work improved transmon coherence by utilizing tantalum (Ta) as a base layer and sapphire as a substrate. The losses in these devices are dominated by two-level systems (TLSs) with comparable contributions from both the surface and bulk dielectrics, indicating that both must be tackled to achieve major improvements in the state of the art. Here we show that replacing the substrate with high-resistivity silicon (Si) dramatically decreases the bulk substrate loss, enabling 2D transmons with time-averaged quality factors (Q) exceeding 1.5 x 10^7, reaching a maximum Q of 2.5 x 10^7, corresponding to a lifetime (T_1) of up to 1.68 ms. This low loss allows us to observe decoherence effects related to the Josephson junction, and we use improved, low-contamination junction deposition to achieve Hahn echo coherence times (T_2E) exceeding T_1. We achieve these material improvements without any modifications to the qubit architecture, allowing us to readily incorporate standard quantum control gates. We demonstrate single qubit gates with 99.994% fidelity. The Ta-on-Si platform comprises a simple material stack that can potentially be fabricated at wafer scale, and therefore can be readily translated to large-scale quantum processors.",寿命とコヒーレンス時間が1ミリ秒を超える2Dトランスモン,材料の改善は、このような改善は大規模なプロセッサに容易に翻訳される可能性があるため、超伝導キュービットの損失とデコヒーレンスを減らすための強力なアプローチです。最近の研究は、基本層としてTantalum（TA）を利用し、基質としてサファイアを利用することにより、トランスモンコヒーレンスを改善しました。これらのデバイスの損失は、表面誘電体とバルク誘電体の両方から同等の寄与を伴う2レベルのシステム（TLSS）によって支配されており、両方がARTの大幅な改善を達成するために取り組まなければならないことを示しています。ここでは、基質を高耐性シリコン（SI）に置き換えると、バルク基質損失が劇的に減少し、1.5 x 10^7を超える時間平均品質係数（Q）で2Dトランスモンが2.5 x 10^7の最大Qに達し、1.68 MSに対応する最大Q 2.5 x 10^7に達することを示します。この低損失により、ジョセフソンジャンクションに関連するデコヒーレンス効果を観察することができ、改善された低汚染接合部の堆積を使用して、T_1を超えるHahn Echo Coherence Times（T_2E）を達成します。これらの材料の改善は、Qubit Architectureを変更することなく、標準の量子制御ゲートを容易に組み込むことができます。 99.994％の忠実度を持つ単一のキットゲートを示します。 Ta-on-Siプラットフォームは、ウェーハスケールで製造できる可能性があるため、大規模な量子プロセッサに容易に翻訳できるシンプルな材料スタックで構成されています。
"Julia Amoros-Binefa, Morgan W. Mitchell, Jan Kolodynski",Tracking time-varying signals with quantum-enhanced atomic magnetometers,"Quantum entanglement, in the form of spin squeezing, is known to improve the sensitivity of atomic instruments to static or slowly-varying quantities. Sensing transient events presents a distinct challenge, requires different analysis methods, and has not been shown to benefit from entanglement in practically-important scenarios such as spin-precession magnetometry (SPM). Here we adapt estimation control techniques introduced in arXiv:2403.14764(2024) to the experimental setting of SPM and analogous techniques. We demonstrate that real-time tracking of fluctuating fields benefits from measurement-induced spin-squeezing and that quantum limits dictated by decoherence are within reach of today's experiments. We illustrate this quantum advantage by single-shot tracking, within the coherence time of a spin-precession magnetometer, of a magnetocardiography signal overlain with broadband noise.",量子増強原子磁力計を使用して時変信号を追跡します,スピン絞りの形での量子エンタングルメントは、原子計器の静的またはゆっくりとの量に対する感度を改善することが知られています。一時的なイベントを検知するには、明確な課題があり、異なる分析方法が必要であり、スピン前文磁気測定（SPM）などの実質的に重要なシナリオでの絡み合いの恩恵を受けることは示されていません。ここでは、ARXIV：2403.14764（2024）で導入された推定制御手法をSPMおよび類似の技術の実験的設定に適応させます。変動するフィールドのリアルタイム追跡は、測定誘発性のスピンサイズの恩恵を受け、デコヒャーによって決定される量子制限が今日の実験の範囲内であることを実証します。この量子の利点は、シングルショットトラッキング、スピン前処理磁力計のコヒーレンス時間内で、ブロードバンドノイズを伴う磁気測定シグナルのオーバーレインの範囲内で説明します。
