authors,title,abstract,authors_trans,abstract_trans
"Ashu Kushwaha, Rajeev Kumar Jain",Constraining circular polarization of high-frequency gravitational waves with CMB,"Circular polarization in the cosmic microwave background (CMB) offers a promising probe of the parity-violating physics of the early universe. In this paper, we propose a novel method to constrain the primordial circular polarization of high-frequency gravitational waves (GW) in the GHz range. An efficient conversion of gravitons to photons in a transverse cosmological magnetic field at the epoch of last scattering can generate excess chiral photons if the GW background is chiral in nature. This excess radiation distorts the CMB thermal black-body spectrum, which can be estimated by measuring the V-Stokes parameter in the CMB polarization. Using current upper limits on the angular power spectrum of circular polarization $C_l^{VV}$ from the CLASS, MIPOL, and SPIDER experiments, we obtain the most stringent constraints on the characteristic strain and circular polarization of the isotropic background of stochastic GWs at ${40\,\rm GHz}$ and ${150\,\rm GHz}$, respectively. Our work, therefore, provides an interesting possibility to constrain the circular polarization of high-frequency GWs using the V-mode polarization measurements of CMB.",CMBによる高周波重力波の円形偏光の制約,宇宙マイクロ波背景（CMB）の円形偏光は、初期宇宙のパリティバイオレーションの物理学の有望なプローブを提供します。この論文では、GHz範囲における高周波重力波（GW）の原始的円形偏光を制約する新しい方法を提案します。 GWのバックグラウンドが本質的にキラルである場合、最後の散乱のエポックでの横方向の宇宙磁場での重力子の光子への効率的な変換は、過剰なキラル光子を生成する可能性があります。この過剰な放射線は、CMB偏光のV-Stokesパラメーターを測定することで推定できるCMB熱黒体スペクトルを歪めます。円偏光の角度パワースペクトルに現在の上限を使用して、クラス、Mipol、およびSpiderの実験からの$ C_L^{vv} $を使用して、atをatに等方性株の特徴的なひずみと円形偏光の最も厳しい制約を取得します。 $ {40 \、\ rm ghz} $および$ {150 \、\ rm ghz} $、 それぞれ。したがって、私たちの研究は、CMBのVモード偏光測定を使用して、高周波GWSの円形偏光を制約する興味深い可能性を提供します。
"Yunxiang Song, Xinrui Zhu, Xiangying Zuo, Guanhao Huang, Marko Loncar",Gigahertz- and mmWave-repetition-rate soliton microcombs on X-cut lithium niobate,"Soliton microcombs are a cornerstone of integrated frequency comb technologies, with applications spanning photonic computing, ranging, microwave synthesis, optical communications, and quantum light generation. In nearly all such applications, electro-optic (EO) components play a critical role in generating, monitoring, stabilizing, and modulating the solitons. Towards building photonic integrated circuits for next-generation applications, that will simultaneously maximize system performance and minimize size, weight, and power consumption metrics, achieving soliton microcombs and efficient EO modulation on a chip is essential. X-cut thin-film lithium niobate (TFLN) has emerged as a leading photonic platform for the realization of high-performance integrated EO devices and systems. However, despite extensive research, soliton microcombs have remained elusive to X-cut TFLN due to its multiple strong Raman-active modes, in-plane refractive index anisotropy, and photorefractive effects. Here, we address this long-standing challenge and demonstrate versatile soliton microcombs on X-cut TFLN, with repetition-rates spanning from the gigahertz (~26 GHz) up to the millimeter-wave (~0.156 THz) regime. Our finding broadly advances both the fundamental science and practical applications of integrated comb sources by enabling efficient EO modulation and broadband coherent solitons to be monolithically combined on the same chip.",X-Cut niobate上のGigahertzおよびMmwave-Repetition-rate Soliton Microcombs,Soliton Microcombsは、フォトニックコンピューティング、範囲、マイクロ波合成、光学通信、および量子光の生成にまたがるアプリケーションを備えた統合周波数櫛のテクノロジーの基礎です。このようなアプリケーションのほぼすべてにおいて、電気光学（EO）コンポーネントは、ソリトンの生成、監視、安定化、および変調において重要な役割を果たします。次世代アプリケーション向けのフォトニック統合回路の構築に向けて、システムのパフォーマンスを最大化し、サイズ、重量、消費電力メトリックを最小限に抑え、ソリトンマイクロコンブを達成し、チップで効率的なEO変調を達成することが不可欠です。 X-Cut Thin-Film Niobate（TFLN）は、高性能統合EOデバイスとシステムを実現するための主要なフォトニックプラットフォームとして浮上しています。しかし、広範な研究にもかかわらず、ソリトンマイクロコンブは、その複数の強力なラマン活性モード、面内屈折率の異方性、および光骨折効果のために、X-Cut TFLNにとらえどころのないままです。ここでは、この長年の課題に対処し、X-Cut Tflnの多用途のソリトンマイクロコンブを示します。これは、Gigahertz（〜26 GHz）からミリ波（〜0.156 Thz）体制まで繰り返します。私たちの発見は、効率的なEO変調とブロードバンドコヒーレントソリトンを同じチップで単亜油性組み合わせたものにすることにより、統合された櫛ソースの基本的な科学と実用的な応用の両方を広く進めています。
"Martine Schut, Anupam Mazumdar",Parameter scanning in a quantum-gravity-induced entanglement of masses (QGEM) experiment with electromagnetic screening,"Witnessing the quantum nature of spacetime is an exceptionally challenging task. However, the quantum gravity-induced entanglement of matter (QGEM) protocol proposes such a test by testing entanglement between adjacent matter-wave interferometers. One key obstacle to experimentally realising this protocol is the creation of a spatial quantum superposition with heavy masses. Initially, it was envisaged that the superposition size would have to be of order 200 micron for a mass $10^{-14}$ kg (to obtain the entanglement phase of order unity when the centre of mass of the two interferometers are at a separation of 450 microns). The experimental design has since improved, e.g. by assuming that the two interferometers are separated by an electromagnetic screen, which helps bring the separation distance close to 35 micron. Here, we do parameter scans taking into account the electromagnetic screening, and we consider different geometrical setups; we show superpositions of at least a micron-size for mass $10^{-14}$ kg with a decoherence rate of order $10^{-3}$ Hz are required.",量子重力誘発性質量の絡み合い（QGEM）のパラメータースキャン電磁スクリーニングを実験する実験,時空の量子性を目撃することは、非常に挑戦的な作業です。ただし、物質の量子重力によって誘発されたエンタングルメント（QGEM）プロトコルは、隣接する物質波干渉計の間の絡み合いをテストすることにより、そのようなテストを提案します。このプロトコルを実験的に実現するための重要な障害の1つは、重い質量を伴う空間量子重複の作成です。当初、重量$ 10^{-14} $ kgの重大なサイズは200ミクロンである必要があることが想定されていました（2つの干渉計の質量の中心が分離している場合、順序統一の絡み合いフェーズを取得するために450ミクロン）。実験設計はその後改善されています。 2つの干渉計が電磁スクリーンによって分離されていると仮定することで、分離距離を35ミクロンに近づけるのに役立ちます。ここでは、電磁スクリーニングを考慮したパラメータースキャンを行い、さまざまな幾何学的セットアップを検討します。少なくとも10^{-14} $ kgの少なくともミクロンサイズの重ね合わせが、$ 10^{-3} $ hzのデコヒーレンスレート$ 10^{-3} $ hzが必要です。
"Heng-Hsi Li, Kuang-Hung Chou, Xueda Wen, Po-Yao Chang",Impurity-induced non-unitary criticality,"Quantum impurities give rise to rich physical phenomena, with some exhibiting critical behavior described by conformal field theories (CFTs) in the low-energy limit. In parallel, party-time ($\mathcal{PT}$) symmetric non-Hermitian systems host exceptional points (EPs) at criticality, leading to exotic features governed by non-unitary CFTs. Here, we establish a connection between non-Hermitian impurities and CFTs by demonstrating that the critical properties of a (1+1)-dimensional free-fermion chain with central charge $c=1$ can be drastically altered by the presence of a local non-Hermitian impurity. Through a systematic analysis of entanglement/Rényi entropy, the finite-size scaling of the many-body spectrum, and fidelity susceptibility, we identify that this impurity-induced non-Hermitian criticality is characterized by a non-unitary CFT with central charge $c=-2$. Furthermore, we find that these non-unitary critical properties exhibit strong sensitivity to boundary conditions.",不純物による非統一的重要性,量子不純物は豊富な物理的現象を引き起こし、いくつかは低エネルギー限界におけるコンフォーマルフィールド理論（CFT）によって記述された重要な挙動を示します。並行して、パーティタイム（$ \ mathcal {pt} $）対称非体番系システムは、臨界で例外的なポイント（EPS）をホストし、非統一CFTによって支配されたエキゾチックな特徴につながります。ここでは、中央電荷を備えた（1+1）双方向のフリーミオンチェーンの重要な特性がローカルの存在によって劇的に変更できることを実証することにより、非ヘルミティアの不純物とCFTの間の関係を確立します。非ヘルミティアの不純物。エンタングルメント/レニーエントロピーの体系的な分析、多体スペクトルの有限サイズのスケーリング、および忠実度感受性を通じて、この不純物誘発性非ヘルミティアの臨界性は、中央電荷$ cを伴う非統一CFTによって特徴付けられることを特定します。 = -2 $。さらに、これらの非統一的な臨界特性は、境界条件に対して強い感受性を示すことがわかります。
"Peilin Du, Jing Zhang, Rongguo Yang",A Compact One-Way Fault-Tolerant Optical Quantum Computation,"One-way quantum computation is a promising approach to achieving universal, scalable, and fault-tolerant quantum computation. However, a main challenge lies in the creation of universal, scalable three-dimensional cluster states. Here, an experimental scheme is proposed for building large-scale canonical three-dimensional cubic cluster states, which are compatible with the majority of qubit error-correcting codes, using the spatiospectral modes of an optical parametric oscillator. Combining with Gottesman-Kitaev-Preskill states, one-way fault-tolerant optical quantum computation can be achieved with a lower fault-tolerant squeezing threshold. Our scheme drastically simplify experimental configurations, paving the way for compact realizations of one-way fault-tolerant optical quantum computation.",コンパクトな一方向断層耐性光学量子計算,一方向の量子計算は、普遍的な、スケーラブル、断層耐性の量子計算を達成するための有望なアプローチです。ただし、主な課題は、普遍的でスケーラブルな3次元クラスター状態の作成にあります。ここでは、光パラメトリック発振器の空間モードを使用して、大部分のキクビットエラー修正コードと互換性のある大規模な標準的な3次元立方クラスター状態を構築するための実験スキームが提案されています。 Gottesman-Kitaev-Preskill状態と組み合わせることで、より低い断層耐性の圧迫閾値を使用して、一元配置断層耐性の光学量子計算を実現できます。私たちのスキームは、実験的な構成を大幅に簡素化し、一元配置断層耐性の光学量子計算のコンパクトな実現への道を開いています。
"Daniele Oriti, Xiankai Pang",Late-time cosmic acceleration from quantum gravity,"We deepen the analysis of the cosmological acceleration produced by quantum gravity dynamics in the formalism of group field theory condensate cosmology, treated at the coarse-grained level via a phenomenological model, in the language of hydrodynamics on minisuperspace. Specifically, we conduct a detailed analysis of the late-time evolution, which shows a phantom-like phase followed by an asymptotic De Sitter expansion. We argue that the model indicates a recent occurrence of the phantom crossing and we extract a more precise expression for the effective cosmological constant, linking its value to other parameters in the model and to the scale of the quantum bounce in the early universe evolution. Additionally, we show how the phantom phase produced by our quantum gravity dynamics increases the inferred value of the current Hubble parameter based on observed data, indicating a possible quantum gravity mechanism for alleviating the Hubble tension. Our results represent a concrete example of how quantum gravity can provide an explanation for large-scale cosmological puzzles, in an emergent spacetime scenario.",量子重力からの遅い宇宙加速,ミニスパーススペースの流体力学の言語において、現象学的モデルを介して粗粒レベルで扱われる、グループフィールド理論凝縮宇宙論の形式において、量子重力ダイナミクスによって生成される宇宙加速度の分析を深めます。具体的には、幻型のような相に続いて漸近DEシッター拡張を示す、遅い時間の進化の詳細な分析を実施します。モデルはファントム交差の最近の発生を示しており、有効な宇宙定数のより正確な式を抽出し、その値をモデルの他のパラメーターと初期宇宙の進化における量子バウンスのスケールにリンクすると主張します。さらに、量子重力ダイナミクスによって生成されるファントム相が、観測されたデータに基づいて現在のハッブルパラメーターの推定値をどのように増加させ、ハッブルテンションを緩和するための量子重力メカニズムの可能性を示しています。私たちの結果は、緊急の時空シナリオで、量子重力が大規模な宇宙論的パズルの説明をどのように提供できるかの具体的な例を表しています。
"T. E. Bikbaev, M. Yu. Khlopov, A. G. Mayorov",Quantum-mechanical numerical model of interaction between dark atom and nucleus of substance,"The hypothesis of composite $XHe$ dark atoms may provide solution to the long-standing problem of direct searches for dark matter particles. The main problem of the $XHe$ dark atom is its ability to strongly interact with the nucleus of substance, arising from the unshielded nuclear attraction between the helium nucleus and the nucleus of matter. It is assumed that in order to prevent the destruction of the bound structure of dark atom, the effective potential of interaction between $XHe$ and the nucleus of substance must have dipole Coulomb barrier that prevents the fusion of dark matter atom particles with the nucleus of substance. The problem in describing the interaction between dark atom and substance nucleus is the three-body problem, for which an exact analytical solution is not available. Consequently, to assess the physical meaning of the proposed scenario, it is essential to develop a numerical approach. Our approach involves consistently developing an accurate quantum mechanical description of this three-body system, comprising bound dark atom and the external nucleus of substance. We incorporate the necessary effects and interactions to enhance the precision of the results, which helps to elucidate the most significant aspects of the proposed dark atom scenario.",暗い原子と物質核との間の相互作用の量子力学的数値モデル,複合$ XHE $暗原子の仮説は、暗黒物質粒子の直接検索という長年の問題の解決策を提供する可能性があります。 $ xhe $ dark Atomの主な問題は、ヘリウム核と物質核の間の盾のない核引力から生じる物質の核と強く相互作用する能力です。暗い原子の結合構造の破壊を防ぐために、$ xhe $と物質の核との相互作用の効果的なポテンシャルは、暗黒物質原子粒子との核の融合を防ぐ双極子クーロンバリアを持たなければならないと想定されています。物質。暗い原子と物質の核との相互作用を記述する際の問題は、3体の問題であり、正確な分析ソリューションは利用できません。その結果、提案されたシナリオの物理的意味を評価するには、数値的アプローチを開発することが不可欠です。私たちのアプローチでは、結合した暗い原子と物質の外部核を含む、この3体システムの正確な量子機械的記述を一貫して開発することが含まれます。結果の精度を高めるために必要な効果と相互作用を組み込みます。これは、提案されている暗い原子シナリオの最も重要な側面を解明するのに役立ちます。
"G. Diniz, F. D. Picoli, M. P. Lenzarini",Analytical Diagonalization of Fermi Gas-like Hamiltonians using the Sommerfeld-Watson Transformation,"The Sommerfeld-Watson transformation is a powerful mathematical technique widely used in physics to simplify summations over discrete quantum numbers by converting them into contour integrals in the complex plane. This method has applications in scattering theory, high-energy physics, quantum field theory, and electrostatics. A lesser-known but significant use is in the analytical diagonalization of specific Hamiltonians in condensed matter physics, such as the Fermi gas Hamiltonian and the single-impurity Anderson model with vanishing Coulomb repulsion. These models are used to describe important phenomena like conductance in metals, x-ray photoemission, and aspects of the Kondo problem. In this work, we provide a comprehensive explanation of the Sommerfeld-Watson transformation and its application in diagonalization procedures for these models, using modern notation to enhance clarity for new students. The analytical results were validated against the numerical diagonalization, showing excellent agreement. Furthermore, we extend the presented method to a more generalized non-interacting single-impurity Anderson model with variable couplings and arbitrary band dispersion. The procedure presented here successfully achieved the analytical diagonalization of this more complex model, providing a unified solution that encompasses simpler cases. To our knowledge, this general solution has not been previously reported.",Sommerfeld-Watson変換を使用したフェルミガスのようなハミルトニアンの分析的斜め化,Sommerfeld-Watson Transformationは、複雑な平面の輪郭積分に変換することにより、物理学で広く使用されている強力な数学的手法です。この方法には、散乱理論、高エネルギー物理学、量子野外理論、および静電気にアプリケーションがあります。あまり知られていないが重要な使用は、フェルミガスハミルトニアンやクーロン反発の消滅を伴う単一感覚アンダーソンモデルなど、凝縮物質物理学における特定のハミルトニアンの分析的対角線化にあります。これらのモデルは、金属のコンダクタンス、X線光排出、近藤問題の側面などの重要な現象を記述するために使用されます。この作業では、Sommerfeld-Watsonの変換と、これらのモデルの対角線化手順での適用の包括的な説明を提供し、最新の表記法を使用して新入生の明確さを高めます。分析結果は数値対角線化に対して検証され、優れた一致を示しました。さらに、提示された方法を、可変カップリングと任意のバンド分散を備えた、より一般化された非相互作用の単一感覚モデルに拡張します。ここで提示された手順は、このより複雑なモデルの分析的対角線化を成功裏に達成し、より単純なケースを含む統一されたソリューションを提供しました。私たちの知る限り、この一般的な解決策は以前に報告されていません。
"Y. S. Athreya, S. Kannan, X. T. Yan, R. J. Lewis-Swan, K. V. Kheruntsyan, A. G. Truscott, S. S. Hodgman",Bell correlations between momentum-entangled pairs of $^4\text{He}^*$ atoms,"Nonlocal entanglement between pair-correlated particles is a highly counter-intuitive aspect of quantum mechanics, where measurement on one particle can instantly affect the other, regardless of distance. While the rigorous Bell's inequality framework has enabled the demonstration of such entanglement in photons and atomic internal states, no experiment has yet involved motional states of massive particles. Here we report the experimental observation of Bell correlations in motional states of momentum-entangled ultracold helium atoms. Momentum-entangled pairs are generated via $s$-wave collisions. Using a Rarity-Tapster interferometer and a Bell-test framework, we observe atom-atom correlations required for violation of a Bell inequality. This result shows the potential of ultracold atoms for fundamental tests of quantum mechanics and opens new avenues to studying gravitational effects in quantum states.",$^4 \ text {he}^*$ atomsの運動量拡張ペア間のベル相関,ペア相関粒子間の非ローカルエンタングルメントは、距離に関係なく、一方の粒子の測定が他の粒子に即座に影響を与える可能性のある量子力学の非常に直感に反する側面です。厳密なベルの不平等の枠組みにより、光子と原子内部状態におけるこのような絡み合いの実証が可能になりましたが、大規模な粒子の運動状態はまだ含まれていません。ここでは、運動量が広がったウルトラコールドヘリウム原子の運動状態におけるベル相関の実験的観察を報告します。運動量が拡大したペアは、$ s $波の衝突によって生成されます。希少性タプター干渉計とベルテストフレームワークを使用して、ベルの不平等に違反するために必要な原子原子相関が観察されます。この結果は、量子力学の基本テストのための超極性原子の可能性を示しており、量子状態の重力効果を研究するための新しい道を開きます。
"Yang Yang, Akram Youssry, Alberto Peruzzo",Programmable photonic waveguide arrays: opportunities and challenges,"The field of programmable photonics has advanced significantly in recent decades, driven by the rising demand for complex applications, such as optical quantum computing and photonic neural networks. However, as the complexity of these applications increases, there is an increasing need for novel designs that enhance circuit transmission and enable further miniaturization. Photonic waveguide arrays (WAs) hold a unique position in integrated photonics, as they implement ``always-on'' Hamiltonians and have no direct analogs in free-space optics. They find applications in various fields, including light propagation studies, quantum walks, and topological photonics. Despite their versatility, the lack of reconfigurability has limited their utility and hindered further advancements for a long time. Recently, programmable waveguide arrays (PWAs) have emerged as a promising solution for overcoming the limitations of static WAs and PWA-based architectures have been proven to be universal. This perspective proposes a vision for photonic circuits based on PWAs as a new, interdisciplinary field. We review the history of the development of PWAs and outline their potential in areas such as simulation, communication, sensing, and classical and quantum information processing. This technology is expected to become increasingly feasible with advancements in programmable photonics, nanofabrication, and quantum control.",プログラム可能なフォトニック導波路アレイ：機会と課題,プログラム可能なフォトニクスの分野は、光学量子コンピューティングやフォトニックニューラルネットワークなどの複雑なアプリケーションの需要の増加に駆り立てられ、ここ数十年で大幅に進歩しています。ただし、これらのアプリケーションの複雑さが高まるにつれて、回路トランスミッションを強化し、さらなる小型化を可能にする新しいデザインの必要性が高まっています。 Photonic導波路アレイは、「常に」ハミルトニアンを実装し、自由空間光学に直接アナログを持っていないため、統合フォトニクスにユニークな位置を保持します。彼らは、光の伝播研究、量子散歩、トポロジカルフォトニクスなど、さまざまな分野でアプリケーションを見つけます。それらの汎用性にもかかわらず、再構成性の欠如はそれらの有用性を制限し、長い間さらなる進歩を妨げました。最近、プログラム可能な導波路アレイ（PWA）が静的の制限を克服するための有望なソリューションとして浮上しており、PWAベースのアーキテクチャは普遍的であることが証明されています。この視点は、PWASに基づいた新しい学際的な分野としてのフォトニック回路のビジョンを提案しています。 PWAの開発の履歴を確認し、シミュレーション、通信、センシング、および古典的および量子情報処理などの分野での可能性を概説します。この技術は、プログラム可能なフォトニクス、ナノファブリケーション、および量子制御の進歩により、ますます実現可能になると予想されています。
