authors,title,abstract,authors_trans,abstract_trans
"Gonzalo Álvarez-Pérez, Huatian Hu, Fangcheng Huang, Tadele Orbula Otomalo, Michele Ortolani, Cristian Ciracì",Ultrahigh free-electron Kerr nonlinearity in all-semiconductor waveguides for all-optical nonlinear modulation of mid-infrared light,"Nonlinear optical waveguides, particularly those harnessing the optical Kerr effect, are promising for advancing next-generation photonic technologies. Despite the Kerr effect`s ultrafast response, its inherently weak nonlinearity has hindered practical applications. Here, we explore free-electron-induced Kerr nonlinearities in all-semiconductor waveguides, revealing that longitudinal bulk plasmons (inherently nonlocal excitations) can generate exceptionally strong Kerr nonlinearities. We specifically develop a nonlinear eigenmode analysis integrated with semiclassical hydrodynamic theory to compute the linear and nonlinear optical responses originating from the quantum behavior of free electrons in heavily doped semiconductors. These waveguides achieve ultrahigh nonlinear coefficients exceeding 10$^7$ W$^{-1}$km$^{-1}$ and support long-propagating modes with propagation distances over 100 $\mu$m. Additionally, we confirm the robustness of the nonlinear response under realistic conditions by considering viscoelastic and nonlinear damping mechanisms. Finally, we implement our all-semiconductor waveguides in a Mach-Zehnder interferometer, demonstrating efficient nonlinear modulation of the transmittance spectrum via the free-electron Kerr effect. This work evidences the transformative potential of free-electron nonlinearities in heavily doped semiconductors for photonic integrated circuits, paving the way for scalable on-chip nonlinear nanophotonic systems.",中infrared光の全光学的非線形変調のためのすべての半陰導体導波路における超高電子カーの非線形性,非線形の光学導波路、特に光学カー効果を活用するものは、次世代のフォトニック技術を進めることを約束しています。 KERR効果の超高速応答にもかかわらず、その本質的に弱い非線形性は実用的なアプリケーションを妨げています。ここでは、すべての半陰導体導波路のフリーエレクトロン誘導カーの非線形性を探索し、縦方向のバルクプラズモン（本質的に非局所励起）が非常に強いKerr非線形性を生成できることを明らかにします。半古典的な流体力学理論と統合された非線形固有モード分析を具体的に開発し、重度のドープされた半導体における遊離電子の量子挙動に由来する線形および非線形の光応答を計算します。これらの導波路は、10 $^7 $ w $^{-1} $ km $^{-1} $を超える超高度の非線形係数を実現し、100 $ \ mu $ mを超える伝播距離を持つ長い伝導モードをサポートします。さらに、粘弾性および非線形減衰機構を考慮することにより、現実的な条件下での非線形応答の堅牢性を確認します。最後に、マッハゼンダー干渉計に全衰弱性伝導器導波路を実装し、フリーエレクトロンカー効果を介して透過率スペクトルの効率的な非線形変調を実証します。この作業は、フォトニック積分回路の重度のドープされた半導体におけるフリーエレクトロン非線形性の変換の可能性を証明し、スケ​​ーラブルなオンチップ非線形ナノフォトニックシステムへの道を開いています。
"Larry Chen, Kan-Heng Lee, Chuan-Hong Liu, Brian Marinelli, Ravi K. Naik, Ziqi Kang, Noah Goss, Hyunseong Kim, David I. Santiago, Irfan Siddiqi",Scalable and Site-Specific Frequency Tuning of Two-Level System Defects in Superconducting Qubit Arrays,"State-of-the-art superconducting quantum processors containing tens to hundreds of qubits have demonstrated the building blocks for realizing fault-tolerant quantum computation. Nonetheless, a fundamental barrier to scaling further is the prevalence of fluctuating quantum two-level system (TLS) defects that can couple resonantly to qubits, causing excess decoherence and enhanced gate errors. Here we introduce a scalable architecture for site-specific and in-situ manipulation of TLS frequencies out of the spectral vicinity of our qubits. Our method is resource efficient, combining TLS frequency tuning and universal single qubit control into a single on-chip control line per qubit. We independently control each qubit's dissipative environment to dynamically improve both qubit coherence times and single qubit gate fidelities -- with a constant time overhead that does not scale with the device size. Over a period of 40 hours across 6 qubits, we demonstrate a $36\%$ improvement in average single qubit error rates and a $17\%$ improvement in average energy relaxation times. Critically, we realize a 4-fold suppression in the occurrence of TLS-induced performance outliers, and a complete reduction of simultaneous outlier events. These results mark a significant step toward overcoming the challenges that TLS defects pose to scaling superconducting quantum processors.",超伝導qubitアレイにおける2レベルのシステム欠陥のスケーラブルでサイト固有の周波数チューニング,数百のキクから数百のキュービットを含む最先端の超伝導量子プロセッサは、フォールトトレラント量子計算を実現するための構成要素を実証しています。それにもかかわらず、さらにスケーリングするための基本的な障壁は、Qubitsに共鳴して結合する可能性のある膨大な量子2レベルシステム（TLS）欠陥の有病率であり、過剰な甲込んでゲートエラーが強化されます。ここでは、Qubitsのスペクトル近くからTLS周波数のサイト固有および標準の操作のためのスケーラブルなアーキテクチャを紹介します。私たちの方法はリソース効率が高く、TLS周波数チューニングとユニバーサルシングルキュービット制御を、Qubitごとに単一のオンチップ制御ラインに組み合わせています。各Qubitの散逸環境を独立して制御して、キクビットコヒーレンス時間と単一のQubit Gateの忠実度の両方を動的に改善します。 6キクにわたって40時間の期間にわたって、平均単一キットエラー率の36ドル\％$の改善と、平均エネルギー緩和時間の17ドルの改善を示します。重大なことに、TLS誘発性のパフォーマンス外れ値の発生における4倍の抑制と、同時外れ値イベントの完全な削減が認識されています。これらの結果は、TLSが超伝導量子プロセッサのスケーリングにもたらされる課題を克服するための重要なステップを示しています。
"Keyang Chen, Yuanting Liu, Yiming Zhang, Zijian Liang, Yu-An Chen, Ke Liu, Hao Song",Anyon Theory and Topological Frustration of High-Efficiency Quantum LDPC Codes,"Quantum low-density parity-check (QLDPC) codes present a promising route to low-overhead fault-tolerant quantum computation, yet systematic strategies for their exploration remain underdeveloped. In this work, we establish a topological framework for studying the bivariate-bicycle codes, a prominent class of QLDPC codes tailored for real-world quantum hardware. Our framework enables the investigation of these codes through universal properties of topological orders. Besides providing efficient characterizations for demonstrations using Gröbner bases, we also introduce a novel algebraic-geometric approach based on the Bernstein--Khovanskii--Kushnirenko theorem, allowing us to analytically determine how the topological order varies with the generic choice of bivariate-bicycle codes under toric layouts. Novel phenomena are unveiled, including topological frustration, where ground-state degeneracy on a torus deviates from the total anyon number, and quasi-fractonic mobility, where anyon movement violates energy conservation. We demonstrate their inherent link to symmetry-enriched topological orders and offer an efficient method for searching for finite-size codes. Furthermore, we extend the connection between anyons and logical operators using Koszul complex theory. Our work provides a rigorous theoretical basis for exploring the fault tolerance of QLDPC codes and deepens the interplay among topological order, quantum error correction, and advanced mathematical structures.",高効率の量子LDPCコードのanyon理論とトポロジカルフラストレーション,量子低密度パリティチェック（QLDPC）コードは、低オーバーヘッド断層耐性量子計算への有望なルートを提示しますが、探査のための体系的な戦略は未開発のままです。この作業では、実世界の量子ハードウェアに合わせたQLDPCコードの顕著なクラスである二変量自転車コードを研究するためのトポロジカルフレームワークを確立します。当社のフレームワークにより、トポロジ順序の普遍的な特性を通じてこれらのコードの調査が可能になります。 Gröbnerベースを使用したデモンストレーションの効率的な特性を提供することに加えて、Bernstein-Khovanskii  -  Kushnirenkoの定理に基づいた新しい代数幾何学的アプローチも導入し、トーリックレイアウトの下でのビバリエートバイシクルコードの一般的な選択によってトポロジ順序がどのように変化するかを分析的に決定することができます。トロス上の地上国家の縮退が総任意の数字から逸脱するトポロジーフラストレーションを含む、新しい現象が発表されます。対称性が豊富なトポロジー順への固有のリンクを実証し、有限サイズのコードを検索するための効率的な方法を提供します。さらに、Koszul複合体理論を使用して、Anyonsと論理演算子との間の接続を拡張します。私たちの研究は、QLDPCコードの断層トレランスを調査するための厳密な理論的基盤を提供し、トポロジー順、量子誤差補正、および高度な数学構造の相互作用を深めます。
"M. Ferri-Cortés, J. C. G. Henriques, J. Fernández-Rossier",Characterizing $S=3/2$ AKLT Hamiltonian with Scanning Tunneling Spectroscopy,"The AKLT Hamiltonian is a particular instance of a general class of model Hamiltonians defined in lattices with coordination $z$ where each site hosts a spins $S=z/2$, interacting both with linear and non-linear exchange couplings. In two dimensions, the AKLT model features a gap in the spectrum, and its ground state is a valence bond solid state; that is an universal resource for measurement based quantum computing, motivating the quest of physical systems that realize this Hamiltonian. Given a finite-size system described with a specific instance of this general class of models, we address the question of how to asses if such system is a realization of the AKLT model using inelastic tunnel spectroscopy implemented with scanning tunnel microscopy (IETS-STM). We propose two approaches. First, in the case of a dimer, we show how to leverage non-equilibrium IETS-STM to obtain the energies of all excited states, and determine thereby the magnitude of both linear and non-linear exchange interactions. Second, we explore how IETS can probe the in-gap excitations associated to edge spins. In the AKLT limit, spins $S=3/2$ at the edge of the lattice have coordination 2, giving rise to $S=1/2$ dangling spins that can be probed with IETS. We propose a $S=1/2$ effective Hamiltonian to describe the interactions between these dangling spins in the neighborhood of the AKLT point, where their degeneracy lifted.",スキャントンネル分光法で$ s = 3/2 $ akltハミルトニアンを特徴づける,AKLTハミルトニアンは、各サイトがスピン$ s = Z/2 $をホストし、線形と非線形交換の両方のカップリングと相互作用する調整$ z $で格子で定義されたモデルハミルトニアンの一般的なクラスの特定のインスタンスです。 2つの次元では、AKLTモデルはスペクトルのギャップを備えており、その基底状態は原子価結合固体状態です。これは、このハミルトニアンを実現する物理システムの探求を動機付け、測定ベースの量子コンピューティングの普遍的なリソースです。この一般的なクラスのモデルの特定のインスタンスで説明されている有限サイズのシステムを考えると、スキャントンネル顕微鏡（IETS-STM）で実装された非弾性トンネル分光法を使用して、そのようなシステムがAKLTモデルの実現である場合、どのように評価するかの問題に対処します。 2つのアプローチを提案します。まず、二量体の場合、非平衡IETS-STMを活用してすべての励起状態のエネルギーを得る方法を示し、それによって線形と非線形の交換相互作用の両方の大きさを決定します。第二に、IETがエッジスピンに関連するギャップ内の励起をどのようにプローブできるかを探ります。 AKLTの制限では、格子の端で$ s = 3/2 $をスピンし、調整2を持ち、IETSでプローブできる$ s = 1/2 $ danglingスピンを生み出します。 $ s = 1/2 $効果的なハミルトニアンを提案して、これらの縮退ポイントの近くでこれらのぶら下がっているスピン間の相互作用を説明します。
"Peter K. Elgee, Kevin C. Cox, Joshua C. Hill, Paul D. Kunz, David H. Meyer",Electrically-Small Rydberg Sensor for Three-Dimensional Determination of rf k-Vectors,"We present an electrically-small Rydberg atom electric field sensor with the ability to extract the three-dimensional $k$-vector of an elliptically polarized radio frequency (rf) field. In most mediums, the $k$-vector (or wave vector) provides the direction of propagation of an electromagnetic wave. Our method uses a field vector measurement at a single point in space and is thus compatible with a sensor volume that is arbitrarily small compared to the carrier wavelength. We measure the $k$-vector of a circularly polarized signal field with average absolute errors in the polar and azimuthal angles of $33~\text{mrad}$ and $43~\text{mrad}$ respectively, and statistical noise of $1.3~\text{mrad}/\sqrt{\text{Hz}}$ and $1.5~\text{mrad}/\sqrt{\text{Hz}}$. Additionally, we characterize the performance of the sensor as a function of the ellipticity of the input field and the size of the sensing region. We find that the sensor works over a broad range of ellipticities and validate that an electrically-small sensing region is optimal.",RF Kベクターの3次元測定のための電気的に小型Rydbergセンサー,楕円形に分極した無線周波数（RF）フィールドの3次元$ k $ vectorを抽出する機能を備えた、電気的に小型のRydberg Atom Electric Fieldセンサーを提示します。ほとんどの媒体では、$ k $ -vector（または波動ベクトル）は、電磁波の伝播方向を提供します。私たちの方法は、空間の単一ポイントでフィールドベクトル測定を使用するため、キャリアの波長と比較して任意に小さいセンサーの体積と互換性があります。円形偏光信号フィールドの$ k $ベクトルを測定します。極地および方位角の平均絶対誤差$ 33〜 \ text {mrad} $および$ 43〜 \ text {mrad} $、および$ 1.3〜 \ text {mrad}/\ sqrt {\ sqrt {\ $＆ $ 1.5〜 \ text {mrad}/\ sqrt {\ text {hz}} $。さらに、センサーのパフォーマンスを、入力フィールドの楕円率とセンシング領域のサイズの関数として特徴付けます。センサーは幅広い楕円率で動作し、電気的に小型のセンシング領域が最適であることを検証します。
"Simone Fioccola, Luigi Giacomazzi, Davide Ceresoli, Layla Martin-Samos, Anne Hemerick, Nicolas Richard","QE-CONVERSE: An open-source package for the Quantum ESPRESSO distribution to compute non-perturbatively orbital magnetization from first principles, including NMR chemical shifts and EPR parameters","Orbital magnetization, a key property arising from the orbital motion of electrons, plays a crucial role in determining the magnetic behavior of molecules and solids. Despite its straightforward calculation in finite systems, the computation in periodic systems poses challenges due to the ill-defined position operator and surface current contributions. The modern theory of orbital magnetization, implemented in the Density Functional Theory (DFT) framework, offers an accurate solution via the ""converse approach."" Here, we introduce QE-CONVERSE, a refactored, modular implementation of this method, replacing outdated routines from Quantum ESPRESSO (version 3.2). QE-CONVERSE integrates modern computational libraries like scaLAPACK and ELPA, enhancing scalability, especially for large supercell calculations. This work focuses on providing the community with a reliable, accurate orbital magnetization package for properties such as Electron Paramagnetic Resonance (EPR) g-tensors and Nuclear Magnetic Resonance (NMR) chemical shifts, particularly where perturbative methods fail. We demonstrate QE-CONVERSE's effectiveness with benchmark cases, including the NMR shifts of ${}^{27}$Al in alumina and ${}^{17}$O and ${}^{29}$Si in $\alpha$-quartz, as well as the EPR g-tensor for $_{ }^{n}\Sigma(n\geq 2)$ radicals and nitrogen defects in silicon. Results show excellent agreement with theoretical and experimental data, with improved accuracy in EPR calculations over linear response methods. QE-CONVERSE is fully compatible with recent Quantum ESPRESSO versions, enabling new possibilities for studying complex materials",QE-converse：NMR化学シフトやEPRパラメーターを含む第一原理からの非頻度的に軌道磁化を計算するための量子エスプレッソ分布用のオープンソースパッケージ,電子の軌道運動から生じる重要な特性である軌道磁化は、分子と固体の磁気挙動を決定する上で重要な役割を果たします。有限システムでの単純な計算にもかかわらず、定期的なシステムでの計算は、不明確な位置演算子と表面電流の寄与により課題をもたらします。密度汎関数理論（DFT）フレームワークに実装された軌道磁化の現代理論は、「逆アプローチ」を介して正確なソリューションを提供します。ここでは、この方法のリファクタリングされたモジュール式実装であるQE-converseを紹介し、Quantum Espresso（バージョン3.2）の時代遅れのルーチンを置き換えます。 QE-Converseは、ScalapackやELPAなどの最新の計算ライブラリを統合し、特に大規模なスーパーセル計算のためにスケーラビリティを向上させます。この作業は、特に摂動方法が失敗した場合、電子常磁性共鳴（EPR）Gテンソルや核磁気共鳴（NMR）化学シフトなどの特性のための信頼性の高い正確な軌道磁化パッケージをコミュニティに提供することに焦点を当てています。 Aluminaの$ {}^{}^{27} $ alのnmrシフトと$ {}^{17} $ oおよび$ {} $ oおよび$ \ alpha $ -quartzの$ {} $ {}^{} $ siを含むベンチマークケースでのQE-converseの有効性を実証します。 }^{n} \ sigma（n \ geq 2）$ラジカルとシリコンの窒素欠陥。結果は、理論的および実験的データと優れた一致を示し、線形応答方法よりもEPR計算の精度が向上しています。 QE-converseは最近の量子エスプレッソバージョンと完全に互換性があり、複雑な素材を研究するための新しい可能性を可能にします
"GuoDong Zhang, ChengHao Li, QiXin Xie, ShuangYong Zhou",Superradiance of Friedberg-Lee-Sirlin Solitons,"It has recently been pointed out that rotation in internal space can induce superradiance. We explore this effect in non-topological solitons of the two-field Friedberg-Lee-Sirlin model. This renormalizable model admits very large solitons, making the perturbative scattering equations highly sensitive to boundary conditions and requiring a relaxation method for their solution. We find that the energy extraction rate is strongly influenced by the mass hierarchy of the two scalars, and solitons with lower internal frequencies lead to more peaks in the spectra of the amplification factors. Additionally, we derive absolute bounds on the amplification factors for general ingoing modes using a linear fractional optimization algorithm and establish analytical bounds near the mass gap.",Friedberg-lee-Sirlinソリトンの超放牧,最近、内部空間での回転が超放射を誘発する可能性があることが指摘されています。この効果は、2フィールドのFriedberg-Lee-Sirlinモデルの非トポロジーソリトンで調査します。この繰り込み可能なモデルは非常に大きなソリトンを認め、摂動散乱方程式を境界条件に非常に敏感にし、溶液に緩和方法を必要とします。エネルギー抽出速度は、2つのスカラーの質量階層によって強く影響され、内部周波数が低いソリトンは増幅係数のスペクトルのピークを増やすことがわかります。さらに、線形分数最適化アルゴリズムを使用して、一般的な浸潤モードの増幅係数の絶対境界を導き出し、質量ギャップの近くで分析境界を確立します。
"Nicole Drew, Venkatraman Gopalan, Martin Bojowald",Euclideanization without Complexification of the Spacetime,"Minkowski spacetime can be mapped by a series of projections in a higher-dimensional spacetime to a Euclidean space, constituting a process of Euclideanization shown here in detail for two dimensions. The result allows regularizations and computations of integrals that appear in quantum field theory (QFT) without performing the standard Wick rotation of time to imaginary values. However, there is no physical spacetime transformation that produces a Wick rotation. In avoiding this complexification process, the new Euclidenization procedure has important advantages in the transformations of the action principles, including fermionic fields and theories at constant chemical potential. In all cases, complex-valued amplitudes of the form $\exp(iS/\hbar)$ are mapped to real statistical weights $\exp(-S_{\rm E}/\hbar)$ with a Euclidean action $S_{\rm E}$. The procedure is also amenable to fields on curved background spacetimes as well as gravitational interactions.",時空を複雑にすることなくユークリッド化,Minkowskiの時空は、2次元について詳細に示されているユークリッド化のプロセスを構成するユークリッド空間への高次元の時空の一連の投影によってマッピングできます。その結果、想像上の値に対する標準的な時間の回転を実行せずに、量子フィールド理論（QFT）に表示される積分の正規化と計算が可能になります。ただし、芯の回転を生成する物理的な時空変換はありません。この複雑化プロセスを避ける際に、新しいユークリデン化手順は、一定の化学的ポテンシャルでのフェルミオンフィールドや理論など、アクション原則の変換に重要な利点があります。すべての場合において、フォーム$ \ exp（is/\ hbar）$の複雑な値の振幅は、実際の統計的重み$ \ exp（-s _ {\ rm e}/\ hbar）にマッピングされます。この手順は、湾曲した背景の時空や重力相互作用のフィールドにも適しています。
"Stefan Hollands, Roberto Longo",A New Proof of the QNEC,"We give a simplified proof of the quantum null energy condition (QNEC). Our proof is based on an explicit formula for the shape derivative of the relative entropy, with respect to an entangling cut. It allows bypassing the analytic continuation arguments of a previous proof by Ceyhan and Faulkner and can be used e.g., for defining entropy current fluctuations.",QNECの新しい証拠,量子ヌルエネルギー条件（QNEC）の単純化された証拠を示します。私たちの証明は、絡み合ったカットに関して、相対エントロピーの形状誘導体の明示的な式に基づいています。これにより、セイハンとフォークナーによる以前の証明の分析継続的議論をバイパスすることができ、例えばエントロピー電流変動を定義するために使用できます。
"Zeyuan Zhou, Andrew Ji, Yongshan Ding",Characterization and Mitigation of Crosstalk in Quantum Error Correction,"The design and performance analysis of quantum error correction (QEC) codes are often based on incoherent and independent noise models since it is easy to simulate. However, these models fail to capture realistic hardware noise sources, such as correlated errors (crosstalk), which can significantly impact QEC code performance, especially when they occur between data and ancillary qubits. In this paper, we systematically study various types of crosstalk noise and quantify their effects on surface codes through memory and stability experiments. Based on our findings, we introduce crosstalk-robust implementations of QEC via redundant stabilizer checks and flag qubit designs. In addition, we analyze logical crosstalk in an $[[n,k>1,d]]$ code block and establish analytical conditions under which physical crosstalk does not lead to logical crosstalk. Together, our analytical and numerical results shed light on designing QEC codes that are robust against hardware-realistic noise, paving the way for reliable experimental realization of fault-tolerant quantum computing.",量子誤差補正におけるクロストークの特性評価と緩和,量子誤差補正（QEC）コードの設計とパフォーマンス分析は、シミュレートが簡単であるため、一貫性のない独立したノイズモデルに基づいていることがよくあります。ただし、これらのモデルは、特にデータと補助的なキュービット間で発生する場合、QECコードのパフォーマンスに大きな影響を与える可能性のある相関エラー（Crosstalk）など、現実的なハードウェアノイズソースをキャプチャできません。この論文では、さまざまな種類のクロストークノイズを体系的に研究し、メモリと安定性の実験を通じて表面コードへの影響を定量化します。調査結果に基づいて、冗長安定剤チェックとフラグキクビットデザインを介してQECのCrosstalk-Robust実装を導入します。さらに、$ [n、k> 1、d]] $コードブロックで論理的なクロストークを分析し、物理的なクロストークが論理的なクロストークにつながらない分析条件を確立します。一緒に、私たちの分析的および数値的な結果は、ハードウェアリアリックなノイズに対して堅牢なQECコードの設計に光を当て、断層耐性量子コンピューティングの信頼できる実験的実現への道を開きます。
