authors,title,abstract,authors_trans,abstract_trans
"Enhyeok Jang, Youngmin Kim, Hyungseok Kim, Seungwoo Choi, Yipeng Huang, Won Woo Ro",Mantra: Rewriting Quantum Programs to Minimize Trap-Movements for Zoned Rydberg Atom Arrays,"A zoned neutral atom architecture achieves exceptional fidelity by segregating the execution spaces of 1- and 2-qubit gates, being a promising candidate for high-accuracy quantum systems. Unfortunately, naively applying programs designed for static qubit topologies to zoned architectures may result in most execution time being consumed by inter-zone travels of atoms. To address this, we introduce Mantra (Minimizing trAp movemeNts for aTom aRray Architectures), which rewrites quantum programs to reduce the interleaving of single- and two-qubit gates. Mantra incorporates three strategies: (i) a fountain-shaped controlled-Z (CZ) chain, (ii) ZZ-interaction protocol without a 1-qubit gate, and (iii) preemptive gate scheduling. Mantra reduces inter-zone movements by 68%, physical gate counts by 35%, and improves circuit fidelities by 17% compared to the standard executions.",マントラ：ゾーニングされたrydbergアトムアレイのトラップモーブメントを最小限に抑えるための量子プログラムを書き換える,ゾーン化されたニュートラルな原子アーキテクチャは、1 qubitゲートと2 qubitゲートの実行スペースを分離することにより、例外的な忠実度を達成し、高精度の量子システムの有望な候補です。残念ながら、静的なキュービットトポロジ向けに設計されたプログラムをゾーンアーキテクチャに適用すると、ほとんどの実行時間が消費される可能性があります。これに対処するために、マントラ（アトムアレイアーキテクチャのトラップの動きを最小限に抑える）を導入します。これにより、量子プログラムを書き換えて、単一および2回のキットゲートのインテリアを減らすことができます。 Mantraには、3つの戦略が組み込まれています。（i）噴水型の制御Z（CZ）チェーン、（ii）1 qubitゲートのないZZ相互作用プロトコル、および（iii）先制ゲートスケジューリング。マントラは、ゾーン間の動きを68％減らし、物理ゲートは35％カウントし、標準の実行と比較して回路の忠実度を17％改善します。
"Xing Su, Jian-Jian Cheng, Lin Zhang",Variety of Superradiant Phase Transition in Bose-Fermi System with Tight-Binding Model in the weak-coupling regime,"We present a full exploration of the dynamic diversity inherent in superradiant phase transitions within a one-dimensional tight-binding electronic chain that is intricately coupled to a single-mode optical cavity. By employing a quantized electromagnetic vector potential via the Peierls substitution, this gauge-coupled Bose-Fermi system facilitates momentum-dependent superradiant transitions. These transitions are characterized by the displacement of the cavity mode and the redistribution of electronic momentum, thereby circumventing the second-order spurious phase transitions typically observed in Dicke-like models. Distinct from multimode cavity QED systems with atomic gases, the single-mode optical configuration unveils a range of nonlinear phenomena, including multistability and varied spontaneous symmetry breaking. This configuration enables the precise manipulation of superradiant phases in weak coupling regimes, devoid of the quantum fluctuation divergence. Our findings advance the understanding of tunable quantum devices and highlight potential applications in quantum information processing and metrology.",弱い結合体制に密着モデルを備えたBose-Fermiシステムにおける超放射線遷移の多様性,単一モードの光学キャビティに複雑に結合された、1次元のタイトバインド電子チェーン内の超放射線遷移に固有の動的多様性を完全に調査します。 Peierls置換を介して量子化された電磁ベクター電位を使用することにより、このゲージ結合Bose-Fermiシステムは、運動量依存の超放射遷移を促進します。これらの遷移は、キャビティモードの変位と電子運動量の再分配によって特徴付けられ、それによってディッケ様モデルで通常観察される2次スプリアス位相遷移を回避します。アトミックガスを備えたマルチモードキャビティQEDシステムとは異なり、シングルモードの光学構成は、多様性や多様な自然対称性破壊など、さまざまな非線形現象を明らかにします。この構成により、Quantumの変動の発散がない弱い結合体制での超放射線フェーズの正確な操作が可能になります。私たちの調査結果は、調整可能な量子デバイスの理解を促進し、量子情報処理と計測における潜在的なアプリケーションを強調しています。
"Yu Ning, Fei Shi, Tao Luo, Xiande Zhang",Linear Programming Bounds on $k$-Uniform States,"The existence of $k$-uniform states has been a widely studied problem due to their applications in several quantum information tasks and their close relation to combinatorial objects like Latin squares and orthogonal arrays. With the machinery of quantum enumerators and linear programming, we establish several improved non-existence results and bounds on $k$-uniform states.
1. First, for any fixed $l\geq 1$ and $q\geq 2$, we show that there exists a constant $c$ such that $(\left\lfloor{n/2}\right\rfloor-l)$-uniform states in $(\mathbb{C}^q)^{\otimes n}$ do not exist when $n\geq cq^2+o(q^2)$. The constant $c$ equals $4$ when $l=1$ and $6$ when $l=2$, which generalizes Scott's bound (2004) for $l=0$.
2. Second, when $n$ is sufficiently large, we show that there exists a constant $\theta<1/2$ for each $q \le 9$, such that $k$-uniform states in $(\mathbb{C}^q)^{\otimes n}$ exist only when $k\leq \theta n$. In particular, this provides the first bound (to the best of our knowledge) of $k$ for $4\leq q\leq 9$ and confirms a conjecture posed by Shi et al. (2023) when $q=5$ in a stronger form.
3. Finally, we improve the shadow bounds given by Shi et al. (2023) by a constant for $q = 3,4,5$ and small $n$. When $q=4$, our results can update some bounds listed in the code tables maintained by Grassl (2007--2024).",$ k $ uniform状態の線形プログラミングの境界,"$ k $ uniform状態の存在は、いくつかの量子情報タスクでのアプリケーションと、ラテンの正方形や直交配列などの組み合わせオブジェクトとの密接な関係により、広く研究されている問題です。量子列挙器の機械と線形プログラミングにより、$ k $ -uniform状態のいくつかの改善された非存在結果と境界を確立します。
1。最初に、固定$ l \ geq 1 $および$ q \ geq 2 $の場合、$（\ left \ lfloor {n/2} \ right \ rfloor-l）$ $の均一な状態などの定数$ c $が存在することを示します。 cq^2+o（q^2）$。定数$ c $は、$ l = 1 $の場合は$ 4 $に等しく、$ l = 2 $の場合は$ 6 $に等しくなります。
2。第二に、$ n $が十分に大きい場合、各$ q \ le 9 $に対して一定の$ \ theta <1/2 $が存在することを示します。特に、これは$ 4 \ leq q \ leq 9 $の$ k $の最初の境界（私たちの知る限り）を提供し、Shi et al。によって提起された推測を確認します。 （2023）より強い形式で$ q = 5 $の場合。
3。最後に、Shi et alによって与えられた影の境界を改善します。 （2023）$ Q = 3,4,5 $およびSmall $ n $の定数。 $ q = 4 $の場合、結果はGrassl（2007--2024）が維持しているコードテーブルにリストされているいくつかの境界を更新できます。"
"Hang Xu, Tailong Xiao, Jingzheng Huang, Ming He, Jianping Fan, Guihua Zeng",Towards Heisenberg limit without critical slowing down via quantum reinforcement learning,"Critical ground states of quantum many-body systems have emerged as vital resources for quantum-enhanced sensing. Traditional methods to prepare these states often rely on adiabatic evolution, which may diminish the quantum sensing advantage. In this work, we propose a quantum reinforcement learning (QRL)-enhanced critical sensing protocol for quantum many-body systems with exotic phase diagrams. Starting from product states and utilizing QRL-discovered gate sequences, we explore sensing accuracy in the presence of unknown external magnetic fields, covering both local and global regimes. Our results demonstrate that QRL-learned sequences reach the finite quantum speed limit and generalize effectively across systems of arbitrary size, ensuring accuracy regardless of preparation time. This method can robustly achieve Heisenberg and super-Heisenberg limits, even in noisy environments with practical Pauli measurements. Our study highlights the efficacy of QRL in enabling precise quantum state preparation, thereby advancing scalable, high-accuracy quantum critical sensing.",量子補強学習を介して重大な速度を落とさずにハイゼンベルクの制限に向けて,量子多体系の重要な基盤は、量子強化センシングのための重要なリソースとして浮上しています。これらの状態を準備する従来の方法は、多くの場合、量子センシングの利点を減らす可能性がある断熱進化に依存しています。この作業では、エキゾチックな位相図を備えた量子多体システムの量子補強学習（QRL）強化批判的センシングプロトコルを提案します。製品状態から始まり、QRLディスカバーされたゲートシーケンスを利用して、ローカルおよびグローバルな体制の両方をカバーする未知の外部磁場の存在下での感知精度を探ります。我々の結果は、QRL学習シーケンスが有限量子速度制限に到達し、任意のサイズのシステム全体で効果的に一般化し、準備時間に関係なく精度を確保することを示しています。この方法は、実用的なパウリ測定を備えた騒々しい環境であっても、ハイゼンベルクとスーパーヘイセンバーグの制限を堅牢に達成できます。私たちの研究は、正確な量子状態の準備を可能にするQRLの有効性を強調し、それによりスケーラブルで高精度の量子クリティカルセンシングを進めます。
"Arjan Cornelissen, Simon Apers, Sander Gribling",How to compute the volume in low dimension?,"Estimating the volume of a convex body is a canonical problem in theoretical computer science. Its study has led to major advances in randomized algorithms, Markov chain theory, and computational geometry. In particular, determining the query complexity of volume estimation to a membership oracle has been a longstanding open question. Most of the previous work focuses on the high-dimensional limit. In this work, we tightly characterize the deterministic, randomized and quantum query complexity of this problem in the high-precision limit, i.e., when the dimension is constant.",低次元でボリュームを計算する方法は？,凸状の体の体積を推定することは、理論的なコンピューターサイエンスの標準的な問題です。その研究は、ランダム化アルゴリズム、マルコフ連鎖理論、および計算幾何学の大きな進歩をもたらしました。特に、メンバーシップオラクルに対するボリューム推定のクエリの複雑さを決定することは、長年の未解決の問題でした。以前の作業のほとんどは、高次元の制限に焦点を当てています。この作業では、この問題の決定論的、無作為化、量子クエリの複雑さ、つまりディメンションが一定の場合のこの問題の複雑さを強く特徴付けます。
"Fong Yew Leong, Wei-Bin Ewe, Tran Si Bui Quang, Zhongyuan Zhang, Jun Yong Khoo",Hybrid Quantum Physics-informed Neural Network: Towards Efficient Learning of High-speed Flows,"This study assesses the potential use of hybrid quantum physics-informed neural network (HQPINN) to model high-speed flows as an alternative to classical PINN and quantum neural network options. The model integrates parameterized quantum circuit (PQC) with classical neural network in parallel as input to a physics-based optimization. For problems with harmonic solutions, the HQPINN exhibits superior accuracy and trainability compared to both classical and quantum models at low parameter costs. For transonic flows, the hybrid approach yields modest results and additionally suffers from poor trainability if the quantum layer were under-parameterized. Our results highlight inherent limitations in deploying quantum neural networks in PINN applications, and potential use of hybrid architectures as a general tool in problems where the nature of the solution is not known a-priori.",ハイブリッド量子物理学に基づいたニューラルネットワーク：高速フローの効率的な学習に向けて,この研究では、ハイブリッド量子物理学に基づいたニューラルネットワーク（HQPINN）の潜在的な使用を評価して、高速フローを古典的なPINNおよび量子ニューラルネットワークオプションに代わるものとしてモデル化します。このモデルは、パラメーター化された量子回路（PQC）を、物理ベースの最適化への入力として並行して古典的なニューラルネットワークと統合します。高調波ソリューションの問題については、HQPINNは、低いパラメーターコストでの古典モデルと量子モデルの両方と比較して、優れた精度と訓練性を示します。トランスニックフローの場合、ハイブリッドアプローチは適度な結果をもたらし、量子層が低パラメーター化されていれば、訓練性が低いことにさらに苦しみます。私たちの結果は、PINNアプリケーションに量子ニューラルネットワークを展開することに固有の制限を強調し、ソリューションの性質がA-Prioriが知られていない問題の一般的なツールとして、ハイブリッドアーキテクチャの潜在的な使用を強調しています。
"Mohsen Fathi, Y. Sekhmani",Shadows aspect of rotating black holes in the Einstein-AdS SU(N)-nonlinear sigma model,"Recent observations of the supermassive black holes M87* and Sgr A* by the Event Horizon Telescope (EHT) have opened new avenues for testing gravity theories through black hole shadow observables. These observations offer a means to distinguish between general relativity and modified gravity theories while providing insights into the astrophysical properties of the observed black holes. In this work, we investigate photon orbits and shadow characteristics of rotating black holes within the Einstein-$\mathrm{SU(N)}$ nonlinear sigma model. We first analyze the static, spherically symmetric black hole solution, focusing on its asymptotically Anti-de Sitter behavior and causal structure. The Modified Newman-Janis Algorithm is then applied to obtain the rotating counterpart, followed by an examination of its geometric properties, ergoregions, and causal structure. Utilizing the Lagrangian formalism, we derive the equations of motion for photons and study the resulting black hole shadow on the celestial plane. We explore the dependence of the shadow's size and shape on the black hole parameters $K$ and $N$, imposing constraints using EHT observational data for M87* and Sgr A*. Finally, we analyze the black hole's evaporation rate under different scenarios.",Einstein-Ads Su（N）-Nonlinear Sigmaモデルの回転ブラックホールの影の側面,イベントHorizo​​n Telescope（EHT）によるSupermassive Black Holes M87*およびSGR A*の最近の観察により、ブラックホールシャドウオブザーバブルを介して重力理論をテストするための新しい手段が開かれました。これらの観察結果は、観察されたブラックホールの天体物理的特性に関する洞察を提供しながら、一般相対性理論と修正された重力理論を区別する手段を提供します。この作業では、アインシュタイン内の回転ブラックホールの光子軌道と影の特性を調査します -  $ \ mathrm {su（n）} $非線形Sigmaモデル。最初に、漸近的に反DEシッターの挙動と因果構造に焦点を当てた静的な球体対称ブラックホール溶液を分析します。次に、修正されたNewman-Janisアルゴリズムを適用して回転する対応物を取得し、その後、その幾何学的特性、ergoregions、および因果構造の調査を行います。ラグランジアンの形式主義を利用して、光子の運動方程式を導き出し、結果として生じるブラックホールの影を天の平面に研究します。ブラックホールパラメーター$ k $と$ n $の影のサイズと形状の依存性を調査し、M87*およびSGR A*のEHT観測データを使用して制約を課します。最後に、さまざまなシナリオでブラックホールの蒸発速度を分析します。
"Matteo Di Giovanni, Davide Rozza, Rosario De Rosa, Enrico Calloni, Domenico D'Urso, Luca Naticchioni, Annalisa Allocca, Giovanni Luca Cardello, Alessandro Cardini, Andrea Contu, Giovanni Diaferia, Luciano Errico, Carlo Giunchi, Jan Harms, Marco Olivieri, Piero Rapagnani, Fulvio Ricci, Valeria Sipala, Lucia Trozzo",The impact of local noise recorded at the ET candidate sites on the signal to noise ratio of CBC gravitational wave signals for the ET triangle configuration,"We present an evaluation of how site dependent noise can affect the signal to noise ratio (SNR) of compact binary coalescence (CBC) signals in the future 3rd generation gravitational wave (GW) detector Einstein Telescope (ET). The design of ET is currently pushing the scientific community to study its scientific potential with respect to known, and possibly unexpected, GW signals using its design sensitivity curves. However, local ambient noise may have an impact on the ET sensitivity at low frequency and therefore affect the SNR of CBC signals at low frequency. Therefore, we study the impact of ambient noise on the ET sensitivity curve at the two sites candidate to host ET - Sardinia, in Italy, and the Euregio Meuse-Rhine (EMR) at the Netherlands-Belgium border - and infer the impact on the ET sensitivity curve and how the SNR of CBC signals at low frequencies is affected. We find that Sardinia shows results which are on par, if not better, than the design case. On the other hand, ambient noise for the current EMR sensitivity curve in Terziet causes a higher degradation of the SNR performances.",ET候補部位で記録されたローカルノイズの影響は、ET三角形の構成のCBC重力波信号の信号対ノイズ比に及ぼす影響,将来の第3世代の重力波（GW）検出器アインシュタイン望遠鏡（ET）におけるコンパクトバイナリ合体（CBC）シグナルのサイト依存ノイズがコンパクトバイナリ合体（CBC）シグナルの信号対ノイズ比（SNR）にどのように影響するかについての評価を提示します。 ETの設計は現在、科学コミュニティに、その設計感度曲線を使用した既知の、そしておそらく予期しないGWシグナルに関する科学的可能性を研究するように促しています。ただし、局所的な周囲ノイズは、低周波数でのET感度に影響を与える可能性があり、したがって、低周波数でのCBC信号のSNRに影響を与えます。したがって、イタリアのET -Sardinia、およびオランダとベルジアムの境界でのEuregio Meuse -Rhine（EMR）をホストする2つのサイト候補のET感度曲線に対する周囲騒音の影響を研究し、ET感受性曲線への影響と低周波数のCBCシグナルのSNRの影響を推測します。サルデーニャは、設計ケースよりも優れていないとしても、パーにある結果を示していることがわかります。一方、Terzietの現在のEMR感受性曲線の周囲ノイズは、SNRパフォーマンスのより高い分解を引き起こします。
"Janis Smits, Yaser Silani, Zaili Peng, Bryan A. Richards, Andrew F. McDowell, Joshua T. Damron, Maxwell D. Aiello, Maziar Saleh Ziabari, Andrey Jarmola, Victor M. Acosta",Chemically resolved nuclear magnetic resonance spectroscopy by longitudinal magnetization detection with a diamond magnetometer,"Non-inductive magnetometers based on solid-state spins offer a promising solution for small-volume nuclear magnetic resonance (NMR) detection. A remaining challenge is to operate at a sufficiently high magnetic field to resolve chemical shifts at the part-per-billion level. Here, we demonstrate a Ramsey-M_z protocol that uses Ramsey interferometry to convert an analyte's transverse spin precession into a longitudinal magnetization (M_z), which is subsequently modulated and detected with a diamond magnetometer. We record NMR spectra at B0=0.32 T with a fractional spectral resolution of ~350 ppb, limited by the stability of the electromagnet bias field. We perform NMR spectroscopy on a ~1 nL detection volume of ethanol and resolve the chemical shift structure with negligible distortion. Through simulation, we show that the protocol can be extended to fields up to B0=3 T, with minimal spectral distortion, using composite nuclear-spin inversion pulses. For sub-nanoliter analyte volumes, we estimate a resolution of ~1 ppb and concentration sensitivity of ~40 mM s^{1/2} is feasible with improvements to the sensor design. Our results establish diamond magnetometers as high-resolution NMR detectors in the moderate magnetic field regime, with potential applications in metabolomics and pharmaceutical research.",ダイヤモンド磁力計による縦方向の磁化検出による化学的に分解された核磁気共鳴分光法,ソリッドステートスピンに基づく非誘導性磁力計は、少量の核磁気共鳴（NMR）検出の有望なソリューションを提供します。残りの課題は、十分に高い磁場で動作して、100万分の1レベルで化学シフトを解決することです。ここでは、ラムジー干渉法を使用して分析物の横スピン歳差別化を縦方向の磁化（M_Z）に変換するRamsey-M_Zプロトコルを示します。電磁バイアスフィールドの安定性によって制限された、〜350 ppbの分数スペクトル分解能で、B0 = 0.32 TでNMRスペクトルを記録します。エタノールの〜1 NL検出量でNMR分光法を実行し、無視できる歪みで化学シフト構造を解決します。シミュレーションを通じて、複合核スピン反転パルスを使用して、スペクトルの歪みを最小限に抑えて、プロトコルを最大スペクトルの歪みでフィールドに拡張できることを示します。サブナノリットル分析物のボリュームについては、〜1 ppbの解像度と濃度の濃度感度が〜40 mm S^{1/2}を推定します。我々の結果は、メタボロミクスと医薬品研究に潜在的な用途を持つ、中程度の磁場領域の高解像度NMR検出器としてダイヤモンド磁力計を確立します。
"Boris V. Pashinsky, Alexander Kato, Boris B. Blinov",Structural Transitions and Melting of Two-Dimensional Ion Crystals in RF Traps,"We investigate the structural properties and melting behavior of two-dimensional ion crystals in an RF trap, focusing on the effects of ion temperature and trap potential symmetry. We identify distinct crystal structures that form under varying trapping conditions and temperatures through experimental observations and theoretical analyses. As the temperature increases or the trap potential becomes more symmetric, we observe a transition from a lattice arrangement to elongated ring-like formations aligned along the trap axes. Our experimental and theoretical efforts enhance our understanding of phase transitions in low-dimensional, confined systems, offering insights into the controlled formation of quantum crystals for applications in quantum simulations and many-body physics.",RFトラップでの2次元イオン結晶の構造遷移と融解,RFトラップにおける2次元イオン結晶の構造特性と融解挙動を調査し、イオン温度とトラップの潜在的な対称性の影響に焦点を当てています。実験的観察と理論分析を通じて、さまざまなトラップ条件と温度の下で形成される明確な結晶構造を特定します。温度が上昇したり、トラップの電位がより対称になると、格子配置からトラップ軸に沿って並べられた細長いリングのような層への遷移が観察されます。私たちの実験的および理論的努力は、低次元の限られたシステムでの位相遷移の理解を高め、量子シミュレーションおよび多体物理学の用途向けの量子結晶の制御された形成に関する洞察を提供します。
